messieurs	NOM	messieurs
:	PUN	:
1	NUM	@card@
c.	ABR	c.
mougin	NOM	mougin
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
,	PUN	,
1	NUM	@card@
e	NOM	e
senior	ADJ	senior
)	PUN	)
1	NUM	@card@
'	PUN	'
31	NUM	@card@
''	NOM	''
73	NUM	@card@
(	PUN	(
43	NUM	@card@
''	NOM	''
69	NUM	@card@
+	SYM	+
48	NUM	@card@
''	NOM	''
04	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
a.	ABR	a.
claude	NOM	claude
(	PUN	(
saint-maurice	NAM	saint-maurice
,	PUN	,
1	NUM	@card@
e	NOM	e
junior	ADJ	junior
)	PUN	)
1	NUM	@card@
'	PUN	'
32	NUM	@card@
''	NOM	''
15	NUM	@card@
(	PUN	(
43	NUM	@card@
''	NOM	''
04	NUM	@card@
+	SYM	+
49	NUM	@card@
''	NOM	''
11	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
j.	ABR	j.
sevrain	NOM	sevrain
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
32	NUM	@card@
''	NOM	''
57	NUM	@card@
(	PUN	(
43	NUM	@card@
''	NOM	''
68	NUM	@card@
+	SYM	+
48	NUM	@card@
''	NOM	''
89	NUM	@card@
)	PUN	)
;	PUN	;
4	NUM	@card@
d.	ABR	d.
clement	NOM	clement
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
,	PUN	,
1	NUM	@card@
e	ADJ	e
master	NOM	master
)	PUN	)
1	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
54	NUM	@card@
;	PUN	;
5	NUM	@card@
g.	ABR	g.
coutret	NOM	coutret
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
97	NUM	@card@
;	PUN	;
6	NUM	@card@
j-s	NOM	j-s
.	SENT	.
eyfried	NAM	eyfried
(	PUN	(
thann	NOM	thann
,	PUN	,
1	NUM	@card@
e	NOM	e
cadet	ADJ	cadet
)	PUN	)
1	NUM	@card@
'	PUN	'
35	NUM	@card@
''	NOM	''
18	NUM	@card@
;	PUN	;
7	NUM	@card@
f.	ABR	f.
poirot	NOM	poirot
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
35	NUM	@card@
''	NOM	''
94	NUM	@card@
;	PUN	;
8	NUM	@card@
t.	ABR	t.
humbertclaude	NOM	humbertclaude
(	PUN	(
saint-maurice	NAM	saint-maurice
)	PUN	)
1	NUM	@card@
'	PUN	'
37	NUM	@card@
''	NOM	''
43	NUM	@card@
;	PUN	;
9	NUM	@card@
s.	ABR	s.
biry	NOM	biry
(	PUN	(
huningue	ADJ	huningue
)	PUN	)
1	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
10	NUM	@card@
;	PUN	;
10	NUM	@card@
c.	ABR	c.
defay	NOM	defay
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
51	NUM	@card@
;	PUN	;
11	NUM	@card@
h.	ABR	h.
mougel	NOM	mougel
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
72	NUM	@card@
;	PUN	;
12	NUM	@card@
f.	ABR	f.
romarie	NOM	romarie
(	PUN	(
carroz	NOM	carroz
)	PUN	)
1	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
82	NUM	@card@
;	PUN	;
13	NUM	@card@
r.	ABR	r.
henry	NOM	henry
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
40	NUM	@card@
''	NOM	''
27	NUM	@card@
;	PUN	;
14	NUM	@card@
p.	ABR	p.
caquel	ADJ	caquel
(	PUN	(
srd	NOM	srd
saint-dié	ADJ	saint-dié
)	PUN	)
1	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
72	NUM	@card@
;	PUN	;
15	NUM	@card@
c.	ABR	c.
parmentier	NOM	parmentier
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
87	NUM	@card@
;	PUN	;
16	NUM	@card@
r.	ABR	r.
colle	NOM	colle
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
94	NUM	@card@
;	PUN	;
17	NUM	@card@
f.	ABR	f.
babe	NOM	babe
(	PUN	(
saint-maurice	NAM	saint-maurice
)	PUN	)
1	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
05	NUM	@card@
;	PUN	;
18	NUM	@card@
m.	ABR	m.
vannson	NOM	vannson
(	PUN	(
saint-maurice	NAM	saint-maurice
)	PUN	)
1	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
41	NUM	@card@
;	PUN	;
19	NUM	@card@
m.	ABR	m.
mathieu	NOM	mathieu
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
99	NUM	@card@
;	PUN	;
20	NUM	@card@
a.	ABR	a.
marchal	NOM	marchal
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
43	NUM	@card@
''	NOM	''
28	NUM	@card@
;	PUN	;
21	NUM	@card@
j-y	NOM	j-y
.	SENT	.
poirot	NOM	poirot
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
44	NUM	@card@
''	NOM	''
10	NUM	@card@
;	PUN	;
22	NUM	@card@
h.	ABR	h.
douissard	NOM	douissard
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
44	NUM	@card@
''	NOM	''
20	NUM	@card@
;	PUN	;
23	NUM	@card@
r.	ABR	r.
lepage	NOM	lepage
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
44	NUM	@card@
''	NOM	''
50	NUM	@card@
;	PUN	;
24	NUM	@card@
g.	ABR	g.
pierrel	NOM	pierrel
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
45	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
25	NUM	@card@
j.	ABR	j.
bendjedia	NOM	bendjedia
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
45	NUM	@card@
''	NOM	''
20	NUM	@card@
;	PUN	;
26	NUM	@card@
b.	ABR	b.
de	PRP	de
fiorido	NOM	fiorido
(	PUN	(
saint-maurice	NAM	saint-maurice
)	PUN	)
1	NUM	@card@
'	PUN	'
45	NUM	@card@
''	NOM	''
87	NUM	@card@
;	PUN	;
27	NUM	@card@
y.	ABR	y.
grava	VER:simp	graver
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
46	NUM	@card@
''	NOM	''
83	NUM	@card@
;	PUN	;
28	NUM	@card@
f.	ABR	f.
defay	NOM	defay
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
27	NUM	@card@
;	PUN	;
29	NUM	@card@
p.	ABR	p.
noel	NOM	noel
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
28	NUM	@card@
;	PUN	;
30	NUM	@card@
a.	ABR	a.
perrin	NOM	perrin
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
49	NUM	@card@
''	NOM	''
38	NUM	@card@
;	PUN	;
31	NUM	@card@
p.	ABR	p.
beck	NOM	beck
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
1	NUM	@card@
'	PUN	'
49	NUM	@card@
''	NOM	''
45	NUM	@card@
;	PUN	;
32	NUM	@card@
l.	ABR	l.
poirot	NOM	poirot
(	PUN	(
cornimont	ADJ	cornimont
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
15	NUM	@card@
;	PUN	;
33	NUM	@card@
h.	ABR	h.
mathieu	NOM	mathieu
(	PUN	(
la	DET:ART	le
bressaude	NOM	bressaude
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
59	NUM	@card@
;	PUN	;
34	NUM	@card@
c.	ABR	c.
bertrand	NOM	bertrand
(	PUN	(
le	DET:ART	le
valtin	NOM	valtin
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
53	NUM	@card@
;	PUN	;
35	NUM	@card@
e.	ABR	e.
belgeri	NOM	belgeri
(	PUN	(
eloyes	NOM	eloyes
,	PUN	,
1	NUM	@card@
e	NOM	e
minime	ADJ	minime
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
91	NUM	@card@
;	PUN	;
36	NUM	@card@
d.	ABR	d.
chevalley	NAM	chevalley
(	PUN	(
ventron	NOM	ventron
)	PUN	)
1	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
06	NUM	@card@
;	PUN	;
37	NUM	@card@
s.	ABR	s.
mangel	NOM	mangel
(	PUN	(
saint-maurice	NAM	saint-maurice
)	PUN	)
1	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
45	NUM	@card@
;	PUN	;
38	NUM	@card@
