vendredi	NOM	vendredi
:	PUN	:
clermont	NOM	clermont
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
antibes	ADJ	antibes
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
non	ADV	non
joué	VER:pper	jouer
villepinte	NOM	villepinte
(	PUN	(
exc	NOM	exc
dep	NOM	dep
)	PUN	)
-	PUN	-
châlons	NOM	châlons
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
78	NUM	@card@
-	PUN	-
122	NUM	@card@
hier	NOM	hier
:	PUN	:
recy	NOM	recy
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
golbey-epinal	ADJ	golbey-epinal
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
74	NUM	@card@
-	PUN	-
92	NUM	@card@
urcuit	NOM	urcuit
(	PUN	(
n	VER:simp	n
1)	NOM	1)
-	PUN	-
saint-etienne	ADJ	saint-etienne
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
82	NUM	@card@
-	PUN	-
86	NUM	@card@
aubenas	NOM	aubenas
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
valence	NOM	valence
(	PUN	(
n	VER:simp	n
1)	NOM	1)
66	NUM	@card@
-	PUN	-
109	NUM	@card@
andrézieux	NOM	andrézieux
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
toulouse	NOM	toulouse
(	PUN	(
n	VER:simp	n
3)	NOM	3)
90	NUM	@card@
-	PUN	-
92	NUM	@card@
lyon	NOM	lyon
cro	NOM	cro
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
maurienne	ADJ	maurienne
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
51	NUM	@card@
-	PUN	-
84	NUM	@card@
angers	NOM	angers
(	PUN	(
n	VER:simp	n
1)	NOM	1)
-	PUN	-
nantes	ADJ	nantes
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
79	NUM	@card@
-	PUN	-
76	NUM	@card@
orléans	NOM	orléans
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
rueil	NOM	rueil
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
79	NUM	@card@
-	PUN	-
75	NUM	@card@
blois	NOM	blois
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
brest	NOM	brest
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
77	NUM	@card@
-	PUN	-
108	NUM	@card@
csl	NOM	csl
dijon	ADJ	dijon
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
saint-quentin	NOM	saint-quentin
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
75	NUM	@card@
-	PUN	-
122	NUM	@card@
la	DET:ART	le
séguinière	NOM	séguinière
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
vitré	VER:pper	vitrer
(	PUN	(
n	VER:simp	n
2)	NOM	2)
79	NUM	@card@
-	PUN	-
76	NUM	@card@
charleville	NOM	charleville
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
besançon	NOM	besançon
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
79	NUM	@card@
-	PUN	-
102	NUM	@card@
stade	NOM	stade
français	ADJ	français
(	PUN	(
exc	NOM	exc
dep	NOM	dep
)	PUN	)
-	PUN	-
vanves	NOM	vanves
(	PUN	(
n	VER:simp	n
2)	NOM	2)
57	NUM	@card@
-	PUN	-
105	NUM	@card@
aujourd'hui	NOM	aujourd'hui
:	PUN	:
mulhouse	NOM	mulhouse
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
reims	NOM	reims
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
beauvais	NOM	beauvais
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
evreux	NOM	evreux
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
