cet	PRO:DEM	ce
après-midi	NOM	après-midi
,	PUN	,
dès	PRP	dès
14	NUM	@card@
h	ABR	heure
,	PUN	,
30	NUM	@card@
jeunes	ADJ	jeune
footballeurs	NOM	footballeur
du	PRP:det	du
secteur	NOM	secteur
nés	VER:pper	naître
en	PRP	en
90	NUM	@card@
sont	VER:pres	être
convoqués	VER:pper	convoquer
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
stabilisé	VER:pper	stabiliser
du	PRP:det	du
champ	NOM	champ
de	PRP	de
mars	NOM	mars
pour	PRP	pour
le	DET:ART	le
compte	NOM	compte
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
guérin	ADJ	guérin
(	PUN	(
responsables	ADJ	responsable
:	PUN	:
mm	NOM	mm
.	SENT	.
augustin	ADJ	augustin
,	PUN	,
déon	NOM	déon
,	PUN	,
forter	NOM	forter
et	KON	et
trévisan	NOM	trévisan
).	VER:subi	).
joueurs	NOM	joueur
attendus	VER:pper	attendre
:	PUN	:
{	ADJ	{
badonviller	NOM	badonviller
:	PUN	:
anthony	NOM	anthony
guénaire	ADJ	guénaire
,	PUN	,
anthony	NOM	anthony
martion	NOM	martion
.	SENT	.
blainville	NOM	blainville
:	PUN	:
julien	ADJ	julien
briel	NOM	briel
,	PUN	,
romain	ADJ	romain
kestel	NOM	kestel
,	PUN	,
vincent	VER:pres	vincent
masson	NOM	masson
,	PUN	,
mathieu	NOM	mathieu
michea	NOM	michea
.	SENT	.
chanteheux	ADJ	chanteheux
:	PUN	:
jonathan	NOM	jonathan
duhaut	ADJ	duhaut
.	SENT	.
dombasle	NOM	dombasle
:	PUN	:
cyril	ADJ	cyril
vincent	NOM	vincent
.	SENT	.
einville	NOM	einville
:	PUN	:
joeffrey	NOM	joeffrey
rouyer	NOM	rouyer
.	SENT	.
gerbéviller	NOM	gerbéviller
:	PUN	:
romain	ADJ	romain
fagot	NOM	fagot
glonville	VER:subp	glonville
ba	VER:pper	ba
:	PUN	:
gauthier	NOM	gauthier
tirole	NOM	tirole
,	PUN	,
hervé	VER:pper	hervé
walker	NOM	walker
.	SENT	.
heillecourt	NOM	heillecourt
:	PUN	:
maxime	VER:pres	maximer
balabonski	NOM	balabonski
,	PUN	,
alexandre	ADJ	alexandre
chaudron	NOM	chaudron
,	PUN	,
mathieu	NOM	mathieu
meyer	NOM	meyer
,	PUN	,
clément	ADJ	clément
milliat	NOM	milliat
,	PUN	,
jordan	ADJ	jordan
sequeira	NOM	sequeira
,	PUN	,
amadou	NOM	amadou
ziegler	NOM	ziegler
.	SENT	.
esls	NOM	esls
lunéville	ADJ	lunéville
:	PUN	:
rodrigue	ADJ	rodrigue
delaigle	NOM	delaigle
,	PUN	,
joris	NOM	joris
hindelang	NOM	hindelang
,	PUN	,
jessy	NOM	jessy
putegnat	NOM	putegnat
,	PUN	,
ferhat	NOM	ferhat
saou	ADJ	saou
.	SENT	.
us	NOM	us
trailor	NOM	trailor
lunéville	ADJ	lunéville
:	PUN	:
baris	NOM	baris
aydin	NOM	aydin
,	PUN	,
tanju	ADJ	tanju
kilic	NOM	kilic
,	PUN	,
pierre	NOM	pierre
marchal	NOM	marchal
,	PUN	,
aurélien	ADJ	aurélien
renaud	NOM	renaud
.	SENT	.
rehainviller	NOM	rehainviller
:	PUN	:
julien	ADJ	julien
goojram	NOM	goojram
.	SENT	.
rosières	NOM	rosière
:	PUN	:
alexandre	ADJ	alexandre
delestrai	VER:simp	delestrai
.{-}	ADJ	.{-}
varangéville	NOM	varangéville
:	PUN	:
gauthier	NOM	gauthier
herbe	NOM	herbe
,	PUN	,
kevin	ADJ	kevin
kern	NOM	kern
.	SENT	.
