l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
magali	ADJ	magali
maselli	NOM	maselli
,	PUN	,
15	NUM	@card@
rue	NOM	rue
du	PRP:det	du
grand	ADJ	grand
jardin	NOM	jardin
,	PUN	,
55500	NUM	@card@
dammarie-sur-saulx	NOM	dammarie-sur-saulx
.	SENT	.
tél	ABR	téléphone
.	SENT	.
/	PUN	/
répondeur	ADJ	répondeur
:	PUN	:
03.29	NUM	@card@
.	SENT	.
75.95	NUM	@card@
.	SENT	.
07	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
:	PUN	:
03.29	NUM	@card@
.	SENT	.
75.90	NUM	@card@
.	SENT	.
63	NUM	@card@
chorale	NOM	chorale
:	PUN	:
répétition	NOM	répétition
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
sapeurs-pompiers	NOM	sapeurs-pompiers
:	PUN	:
rendez-vous	NOM	rendez-vous
à	PRP	à
19	NUM	@card@
h	ABR	heure
pour	PRP	pour
la	DET:ART	le
permanence	NOM	permanence
«	PUN:cit	«
bip	NOM	bip
»	PUN:cit	»
