sainte-marie-aux-chenes	NOM	sainte-marie-aux-chenes
:	PUN	:
1	NUM	@card@
schmitt	NOM	schmitt
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
2	NUM	@card@
larrière	NOM	larrière
(	PUN	(
aj	ABR	aj
54	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
beaudoing	NOM	beaudoing
(	PUN	(
alliance	NOM	alliance
judo	NOM	judo
m	ADJ	m
)	PUN	)
;	PUN	;
3	NUM	@card@
soula	NOM	soula
(	PUN	(
alliance	NOM	alliance
judo	NOM	judo
m	VER:subi	m
).	VER:pper	).
moins	ADV	moins
de	PRP	de
70	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
ferrari	NOM	ferrari
(	PUN	(
custines	NOM	custines
)	PUN	)
;	PUN	;
2	NUM	@card@
le	DET:ART	le
guernic	NOM	guernic
(	PUN	(
alliance	NOM	alliance
judo	NOM	judo
m	ADJ	m
)	PUN	)
;	PUN	;
3	NUM	@card@
ortega	NOM	ortega
(	PUN	(
manom	NOM	manom
)	PUN	)
;	PUN	;
3	NUM	@card@
walach	NOM	walach
(	PUN	(
ennery	NOM	ennery
).	VER:pper	).
moins	ADV	moins
de	PRP	de
70	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
masson	NOM	masson
(	PUN	(
dojo	NOM	dojo
vosgien	ADJ	vosgien
)	PUN	)
;	PUN	;
2	NUM	@card@
benedic	NOM	benedic
(	PUN	(
dojo	NOM	dojo
vosgien	ADJ	vosgien
)	PUN	)
;	PUN	;
3	NUM	@card@
lintz	NOM	lintz
(	PUN	(
laneuveville	NOM	laneuveville
)	PUN	)
;	PUN	;
3	NUM	@card@
charroy	NOM	charroy
(	PUN	(
euville	NOM	euville
).	ADJ	).
cadettes	ADJ	cadet
moins	ADV	moins
de	PRP	de
46	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
michel	NOM	michel
(	PUN	(
alnm	NOM	alnm
)	PUN	)
;	PUN	;
2	NUM	@card@
daubinet	NOM	daubinet
(	PUN	(
aj	ABR	aj
54	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
trottier	NOM	trottier
(	PUN	(
as	VER:pres	avoir
culture	NOM	culture
)	PUN	)
;	PUN	;
3	NUM	@card@
frenot	NOM	frenot
(	PUN	(
saint-mihiel	ADJ	saint-mihiel
).	VER:futu	).
moins	ADV	moins
de	PRP	de
50	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
andreux	NOM	andreux
(	PUN	(
epinal	NOM	epinal
)	PUN	)
;	PUN	;
2	NUM	@card@
blanchard	NOM	blanchard
(	PUN	(
aj	ABR	aj
54	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
guenzi	NOM	guenzi
(	PUN	(
sérémange	NOM	sérémange
)	PUN	)
;	PUN	;
3	NUM	@card@
gillenberg	NOM	gillenberg
(	PUN	(
centre	NOM	centre
judo	NOM	judo
de	PRP	de
).	ABR	).
moins	ADV	moins
de	PRP	de
55	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
bruno	NOM	bruno
(	PUN	(
amnéville	NOM	amnéville
)	PUN	)
;	PUN	;
2	NUM	@card@
grégori	NOM	grégori
(	PUN	(
longwy	NOM	longwy
)	PUN	)
;	PUN	;
3	NUM	@card@
thil	NOM	thil
(	PUN	(
cattenom	NOM	cattenom
)	PUN	)
;	PUN	;
3	NUM	@card@
federicci	NOM	federicci
(	PUN	(
as	VER:pres	avoir
culture	NOM	culture
).	VER:subi	).
moins	ADV	moins
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
barreca	NOM	barreca
(	PUN	(
verny	NOM	verny
)	PUN	)
;	PUN	;
2	NUM	@card@
léger	ADJ	léger
(	PUN	(
longeville	NOM	longeville
)	PUN	)
;	PUN	;
3	NUM	@card@
isele	ADJ	isele
(	PUN	(
ofpnd	VER:pper	ofpnd
)	PUN	)
;	PUN	;
3	NUM	@card@
lacatena	NOM	lacatena
(	PUN	(
saint-avold	NOM	saint-avold
).	VER:pper	).
moins	ADV	moins
de	PRP	de
66	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
ottaviani	NOM	ottaviani
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
2	NUM	@card@
pawlak	NOM	pawlak
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
3	NUM	@card@
filling	NOM	filling
(	PUN	(
alnm	NOM	alnm
)	PUN	)
;	PUN	;
3	NUM	@card@
kuhu	NOM	kuhu
(	PUN	(
cattenom	NOM	cattenom
).	VER:pper	).
moins	ADV	moins
de	PRP	de
73	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
klein	NOM	klein
(	PUN	(
sarrebourg	NOM	sarrebourg
)	PUN	)
;	PUN	;
2	NUM	@card@
end	NOM	end
(	PUN	(
sarrebourg	NOM	sarrebourg
)	PUN	)
;	PUN	;
3	NUM	@card@
goumghar	NOM	goumghar
(	PUN	(
avenir	NOM	avenir
judo	NOM	judo
)	PUN	)
;	PUN	;
3	NUM	@card@
jourdan	NOM	jourdan
(	PUN	(
alnm	NOM	alnm
).	VER:pper	).
moins	ADV	moins
de	PRP	de
81	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
kuba	NOM	kuba
(	PUN	(
dojo	NOM	dojo
vosgien	ADJ	vosgien
)	PUN	)
;	PUN	;
2	NUM	@card@
bellamy	NOM	bellamy
(	PUN	(
jc	NOM	jc
dogne	ADJ	dogne
)	PUN	)
;	PUN	;
3	NUM	@card@
marin-thiéry	NOM	marin-thiéry
(	PUN	(
richardménil	NOM	richardménil
)	PUN	)
;	PUN	;
3	NUM	@card@
egloff	NOM	egloff
(	PUN	(
cjde	NOM	cjde
).	VER:pper	).
moins	ADV	moins
de	PRP	de
90	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
poirot	NOM	poirot
(	PUN	(
verny	NOM	verny
)	PUN	)
;	PUN	;
2	NUM	@card@
muliloto	NOM	muliloto
(	PUN	(
sarrebourg	NOM	sarrebourg
)	PUN	)
;	PUN	;
3	NUM	@card@
gabrielle	NOM	gabrielle
(	PUN	(
centre	NOM	centre
judo	NOM	judo
de	PRP	de
)	PUN	)
;	PUN	;
3	NUM	@card@
calais	VER:impf	caler
(	PUN	(
aj	NOM	aj
54	NUM	@card@
).	ABR	).
plus	ADV	plus
de	PRP	de
90	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
holtzinger	NOM	holtzinger
(	PUN	(
judo	NOM	judo
club	NOM	club
ph	ADJ	ph
)	PUN	)
;	PUN	;
2	NUM	@card@
toussaint	NOM	toussaint
(	PUN	(
dojo	NOM	dojo
vosgien	ADJ	vosgien
)	PUN	)
;	PUN	;
3	NUM	@card@
fiorellini	NOM	fiorellini
(	PUN	(
jeandelize	NOM	jeandelize
)	PUN	)
;	PUN	;
3	NUM	@card@
chell	NOM	chell
(	PUN	(
montigny	NAM	Montigny
).	VER:simp	).
prix	NOM	prix
du	PRP:det	du
meilleur	ADJ	meilleur
comportement	NOM	comportement
:	PUN	:
1	NUM	@card@
stéphanie	NOM	stéphanie
scarpo	ADJ	scarpo
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
2	NUM	@card@
pierre	NOM	pierre
blanchard	ADJ	blanchard
(	PUN	(
aj	ABR	aj
54	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
sébastien	ADJ	sébastien
toussaint	NOM	toussaint
(	PUN	(
dojo	NOM	dojo
vosgien	ADJ	vosgien
)	PUN	)
;	PUN	;
4	NUM	@card@
jean-fiacre	NOM	jean-fiacre
noël	NOM	noël
(	PUN	(
pfpnd	NOM	pfpnd
)	PUN	)
;	PUN	;
5	NUM	@card@
pascale	ADJ	pascal
schmitt	NOM	schmitt
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
6	NUM	@card@
jonathan	NOM	jonathan
yvorra	VER:simp	yvorra
(	PUN	(
villerupt	ADJ	villerupt
).	NOM	).
