a	VER:pres	avoir
partir	VER:infi	partir
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
jusqu'à	NOM	jusqu'à
8	NUM	@card@
h	ABR	heure
,	PUN	,
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
par	PRP	par
secteur	NOM	secteur
:	PUN	:
sochaux	ADJ	sochaux
,	PUN	,
grand-charmont	VER:futu	grand-charmont
,	PUN	,
vieux-charmont	VER:futu	vieux-charmont
,	PUN	,
nommay	NAM	nommay
,	PUN	,
dambenois	NOM	dambenois
,	PUN	,
brognard	ADJ	brognard
,	PUN	,
etupes	NOM	etupes
,	PUN	,
bethoncourt	ADJ	bethoncourt
,	PUN	,
montbéliard	NOM	montbéliard
,	PUN	,
bart	NOM	bart
,	PUN	,
sainte-suzanne	NOM	sainte-suzanne
,	PUN	,
courcelles-les-montbéliard	NOM	courcelles-les-montbéliard
,	PUN	,
voujeaucourt	ADJ	voujeaucourt
,	PUN	,
dung	NOM	dung
,	PUN	,
présentevillers	NOM	présentevillers
,	PUN	,
berche	NOM	berche
,	PUN	,
dampierre-sur-le-doubs	NOM	dampierre-sur-le-doubs
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
03.81	NUM	@card@
.	SENT	.
97.15	NUM	@card@
.	SENT	.
15	NUM	@card@
dampierre-les-bois	NOM	dampierre-les-bois
,	PUN	,
dasle	NOM	dasle
,	PUN	,
fesches-le-châtel	ADJ	fesches-le-châtel
,	PUN	,
vandoncourt	NOM	vandoncourt
,	PUN	,
badevel	NOM	badevel
,	PUN	,
allenjoie	NOM	allenjoie
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
56.56	NUM	@card@
.	SENT	.
83	NUM	@card@
audincourt	NOM	audincourt
,	PUN	,
arbouans	NOM	arbouans
,	PUN	,
taillecourt	NOM	taillecourt
,	PUN	,
exincourt	ADJ	exincourt
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
30.55	NUM	@card@
.	SENT	.
55	NUM	@card@
valentigney	NOM	valentigney
,	PUN	,
mathay	NOM	mathay
,	PUN	,
mandeure	NOM	mandeure
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
34.32	NUM	@card@
.	SENT	.
33	NUM	@card@
hérimoncourt	NOM	hérimoncourt
,	PUN	,
seloncourt	ADJ	seloncourt
,	PUN	,
abbévillers	NOM	abbévillers
,	PUN	,
vallée	NOM	vallée
du	PRP:det	du
gland	NOM	gland
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
35.78	NUM	@card@
.	SENT	.
33	NUM	@card@
