course	NOM	course
70	NUM	@card@
faivre	NOM	faivre
(	PUN	(
s	VER:pper	s
,	PUN	,
bouligny	NAM	bouligny
)	PUN	)
;	PUN	;
71	NUM	@card@
romens	NOM	romens
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
72	NUM	@card@
oger	NOM	oger
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
73	NUM	@card@
megly	NOM	megly
(	PUN	(
v	NOM	v
1,	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
)	PUN	)
;	PUN	;
74	NUM	@card@
kirvelle	NOM	kirvelle
(	PUN	(
v	NOM	v
1,	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
)	PUN	)
;	PUN	;
75	NUM	@card@
boulot	NOM	boulot
(	PUN	(
v	NOM	v
2,	NUM	@card@
pont-à-mousson	NOM	pont-à-mousson
)	PUN	)
;	PUN	;
76	NUM	@card@
simon	NOM	simon
(	PUN	(
j	NOM	j
,	PUN	,
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
77	NUM	@card@
poisot	NOM	poisot
(	PUN	(
v	NOM	v
1,	NUM	@card@
saulxures	NOM	saulxures
)	PUN	)
;	PUN	;
78	NUM	@card@
dominique	NOM	dominique
(	PUN	(
v	NOM	v
2,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
79	NUM	@card@
lamarre	NOM	lamarre
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
80	NUM	@card@
calestroupat	NOM	calestroupat
(	PUN	(
e	VER:pper	e
,	PUN	,
laneuveville	NOM	laneuveville
)	PUN	)
;	PUN	;
81	NUM	@card@
glez	NOM	glez
(	PUN	(
s	VER:pper	s
,	PUN	,
lunéville	NAM	Lunéville
)	PUN	)
;	PUN	;
82	NUM	@card@
forcadette	NOM	forcadette
(	PUN	(
v	NOM	v
2,	NUM	@card@
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
)	PUN	)
;	PUN	;
83	NUM	@card@
fernandes	NOM	fernandes
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
84	NUM	@card@
da	INT	da
ponte	NOM	ponte
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
85	NUM	@card@
defrain	NOM	defrain
(	PUN	(
v	NOM	v
3,	NUM	@card@
richardménil	NOM	richardménil
)	PUN	)
;	PUN	;
86	NUM	@card@
gaspar	NOM	gaspar
(	PUN	(
v	NOM	v
1,	NUM	@card@
malzéville	NOM	malzéville
)	PUN	)
;	PUN	;
87	NUM	@card@
franzin	NOM	franzin
(	PUN	(
v	NOM	v
3,	NUM	@card@
villers	NOM	villers
)	PUN	)
;	PUN	;
88	NUM	@card@
giron	NOM	giron
(	PUN	(
v	NOM	v
2,	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
)	PUN	)
;	PUN	;
89	NUM	@card@
nizet	NOM	nizet
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
90	NUM	@card@
didier	NOM	didier
(	PUN	(
v	NOM	v
1,	NUM	@card@
montenoy	NOM	montenoy
)	PUN	)
;	PUN	;
91	NUM	@card@
tankosic	NOM	tankosic
(	PUN	(
v	NOM	v
2,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
92	NUM	@card@
leroy	NOM	leroy
(	PUN	(
v	NOM	v
2,	NUM	@card@
dieulouard	NOM	dieulouard
)	PUN	)
;	PUN	;
93	NUM	@card@
mathieu	NOM	mathieu
(	PUN	(
s	VER:pper	s
,	PUN	,
port-sur-seille	NOM	port-sur-seille
)	PUN	)
;	PUN	;
94	NUM	@card@
coucha	VER:simp	coucher
(	PUN	(
j	NOM	j
,	PUN	,
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
)	PUN	)
;	PUN	;
95	NUM	@card@
bernot	NOM	bernot
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
96	NUM	@card@
parmentier	NOM	parmentier
(	PUN	(
v	NOM	v
2,	NUM	@card@
lunéville	NOM	lunéville
)	PUN	)
;	PUN	;
97	NUM	@card@
comte	NOM	comte
(	PUN	(
s	VER:pper	s
,	PUN	,
cerville	NOM	cerville
)	PUN	)
;	PUN	;
98	NUM	@card@
pivert	NOM	pivert
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
99	NUM	@card@
vandertaelem	NOM	vandertaelem
(	PUN	(
v	NOM	v
1,	NUM	@card@
lunéville	NOM	lunéville
)	PUN	)
;	PUN	;
100	NUM	@card@
françois	ADJ	françois
(	PUN	(
v	NOM	v
2,	NUM	@card@
liverdun	NOM	liverdun
)	PUN	)
;	PUN	;
101	NUM	@card@
laroche	NOM	laroche
(	PUN	(
s	VER:pper	s
,	PUN	,
frouard	NAM	frouard
)	PUN	)
;	PUN	;
102	NUM	@card@
f.	ABR	f.
rebinguet	NOM	rebinguet
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
103	NUM	@card@
a.	ABR	a.
rebinguet	NOM	rebinguet
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
104	NUM	@card@
denaix	NOM	denaix
(	PUN	(
v	NOM	v
2,	NUM	@card@
ménil-la-horgne	NOM	ménil-la-horgne
)	PUN	)
;	PUN	;
105	NUM	@card@
iung	NOM	iung
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
106	NUM	@card@
thiébaut	NOM	thiébaut
(	PUN	(
v	NOM	v
2,	NUM	@card@
punoy	NOM	punoy
)	PUN	)
;	PUN	;
107	NUM	@card@
bouchenafa	VER:simp	bouchenafa
(	PUN	(
s	VER:pper	s
,	PUN	,
st-max	NOM	st-max
)	PUN	)
;	PUN	;
108	NUM	@card@
cable	NOM	cable
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
109	NUM	@card@
niederlaender	NOM	niederlaender
(	PUN	(
v	NOM	v
2,	NUM	@card@
pont-à-mousson	NOM	pont-à-mousson
)	PUN	)
;	PUN	;
110	NUM	@card@
etienne	NOM	etienne
(	PUN	(
v	NOM	v
2,	NUM	@card@
brin-sur-seille	NOM	brin-sur-seille
)	PUN	)
;	PUN	;
111	NUM	@card@
bourmance-say	NOM	bourmance-say
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
112	NUM	@card@
carbillet	NOM	carbillet
(	PUN	(
v	NOM	v
1,	NUM	@card@
blainville	NOM	blainville
)	PUN	)
;	PUN	;
113	NUM	@card@
lemaire	NOM	lemaire
(	PUN	(
v	NOM	v
1,	NUM	@card@
laxou	NOM	laxou
)	PUN	)
;	PUN	;
114	NUM	@card@
belhote	NOM	belhote
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
115	NUM	@card@
humbert	NOM	humbert
(	PUN	(
seichamps	NOM	seichamps
)	PUN	)
;	PUN	;
116	NUM	@card@
arnold	NOM	arnold
(	PUN	(
v	NOM	v
1,	NUM	@card@
frouard	NOM	frouard
)	PUN	)
;	PUN	;
117	NUM	@card@
weichel	NOM	weichel
(	PUN	(
s	VER:pper	s
,	PUN	,
stiring-wendel	NOM	stiring-wendel
)	PUN	)
=	NOM	=
;	PUN	;
119	NUM	@card@
bourtembourg	NOM	bourtembourg
(	PUN	(
v	NOM	v
2,	NUM	@card@
saulxures	NOM	saulxures
)	PUN	)
;	PUN	;
120	NUM	@card@
alexandre	NOM	alexandre
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
121	NUM	@card@
bouchenafa	VER:simp	bouchenafa
(	PUN	(
s	VER:pper	s
,	PUN	,
st-max	NOM	st-max
)	PUN	)
;	PUN	;
122	NUM	@card@
bontemps	NOM	bontemps
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
123	NUM	@card@
vachon	NOM	vachon
(	PUN	(
v	NOM	v
2,	NUM	@card@
brin-sur-seille	NOM	brin-sur-seille
)	PUN	)
;	PUN	;
124	NUM	@card@
gérard	NOM	gérard
(	PUN	(
e	VER:pper	e
,	PUN	,
chanteheux	ADJ	chanteheux
)	PUN	)
;	PUN	;
125	NUM	@card@
mercier	NOM	mercier
(	PUN	(
v	NOM	v
2,	NUM	@card@
bouxières	NOM	bouxières
)	PUN	)
;	PUN	;
126	NUM	@card@
jung	NOM	jung
(	PUN	(
v	NOM	v
3,	NUM	@card@
st-max	NOM	st-max
)	PUN	)
;	PUN	;
127	NUM	@card@
husson	NOM	husson
(	PUN	(
v	NOM	v
3,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
128	NUM	@card@
rosalski	NOM	rosalski
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
129	NUM	@card@
chaumet	NOM	chaumet
(	PUN	(
s	VER:pper	s
,	PUN	,
saulxures-lès-nancy	NOM	saulxures-lès-nancy
)	PUN	)
;	PUN	;
130	NUM	@card@
barbier	NOM	barbier
(	PUN	(
v	NOM	v
1,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
131	NUM	@card@
segalla	NOM	segalla
(	PUN	(
s	VER:pper	s
,	PUN	,
vandêuvre	NOM	vandêuvre
)	PUN	)
;	PUN	;
132	NUM	@card@
poisot	NOM	poisot
(	PUN	(
v	NOM	v
1,	NUM	@card@
saulxures	NOM	saulxures
)	PUN	)
;	PUN	;
133	NUM	@card@
claude	NOM	claude
(	PUN	(
v	NOM	v
2,	NUM	@card@
laneuveville	NOM	laneuveville
)	PUN	)
;	PUN	;
134	NUM	@card@
gilbert-walter	NOM	gilbert-walter
(	PUN	(
v	NOM	v
1,	NUM	@card@
dombasle	NOM	dombasle
)	PUN	)
;	PUN	;
135	NUM	@card@
better	NOM	better
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
136	NUM	@card@
tournoy	NOM	tournoy
(	PUN	(
v	NOM	v
1,	NUM	@card@
laneuveville	NOM	laneuveville
)	PUN	)
;	PUN	;
137	NUM	@card@
a.	ABR	a.
denicolo	NOM	denicolo
(	PUN	(
v	NOM	v
1,	NUM	@card@
bouxières	NOM	bouxières
)	PUN	)
;	PUN	;
138	NUM	@card@
denicolo	NOM	denicolo
(	PUN	(
v	NOM	v
1,	NUM	@card@
bouxières	NOM	bouxières
)	PUN	)
;	PUN	;
139	NUM	@card@
ch	NOM	ch
.	SENT	.
lafont	VER:futu	lafont
(	PUN	(
v	NOM	v
2,	NUM	@card@
maxéville	NOM	maxéville
)	PUN	)
;	PUN	;
r.	ABR	r.
lafont	VER:futu	lafont
(	PUN	(
v	NOM	v
2,	NUM	@card@
maxéville	NOM	maxéville
)	PUN	)
;	PUN	;
141	NUM	@card@
enus	NOM	enus
(	PUN	(
v	NOM	v
1,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
142	NUM	@card@
nurdin	NOM	nurdin
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
143	NUM	@card@
jublin	NOM	jublin
(	PUN	(
v	NOM	v
1,	NUM	@card@
dombasle	NOM	dombasle
)	PUN	)
;	PUN	;
144	NUM	@card@
comte	NOM	comte
(	PUN	(
s	VER:pper	s
,	PUN	,
cerville	NOM	cerville
)	PUN	)
;	PUN	;
145	NUM	@card@
mas	NOM	mas
(	PUN	(
v	NOM	v
1,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
146	NUM	@card@
barbier	NOM	barbier
(	PUN	(
s	VER:pper	s
,	PUN	,
varangéville	NOM	varangéville
)	PUN	)
;	PUN	;
147	NUM	@card@
d.	ABR	d.
larbalétrier	NOM	larbalétrier
(	PUN	(
v	NOM	v
2,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
148	NUM	@card@
ch	NOM	ch
.	SENT	.
larbalétrier	NOM	larbalétrier
(	PUN	(
v	NOM	v
1,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
150	NUM	@card@
harquet	NOM	harquet
(	PUN	(
v	NOM	v
2,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
151	NUM	@card@
calestroupat	NOM	calestroupat
(	PUN	(
e	VER:pper	e
,	PUN	,
laneuveville	NOM	laneuveville
)	PUN	)
;	PUN	;
152	NUM	@card@
collin	NOM	collin
(	PUN	(
v	NOM	v
2,	NUM	@card@
eulmont	NOM	eulmont
)	PUN	)
;	PUN	;
153	NUM	@card@
folley	NOM	folley
(	PUN	(
v	NOM	v
2,	NUM	@card@
st-nicolas	NOM	st-nicolas
)	PUN	)
;	PUN	;
155	NUM	@card@
bossu	NOM	bossu
(	PUN	(
v	NOM	v
2,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
156	NUM	@card@
gallois	NOM	gallois
(	PUN	(
v	NOM	v
2,	NUM	@card@
maxéville	NOM	maxéville
)	PUN	)
;	PUN	;
157	NUM	@card@
le	DET:ART	le
gall	NOM	gall
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
158	NUM	@card@
colin	NOM	colin
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
159	NUM	@card@
jambeau	NOM	jambeau
(	PUN	(
v	NOM	v
2,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
160	NUM	@card@
barrozi	NOM	barrozi
(	PUN	(
v	NOM	v
4,	NUM	@card@
nancy	NOM	nancy
).	VER:subi	).
minimes	ADJ	minime
et	KON	et
cadets	ADJ	cadet
:	PUN	:
1	NUM	@card@
larbaletrier	NOM	larbaletrier
;	PUN	;
2	NUM	@card@
gellenoncourt	NOM	gellenoncourt
(	PUN	(
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
3	NUM	@card@
perrin	NOM	perrin
(	PUN	(
laxou	NOM	laxou
)	PUN	)
;	PUN	;
4	NUM	@card@
martel	NOM	martel
(	PUN	(
essey	NOM	essey
)	PUN	)
;	PUN	;
5	NUM	@card@
jambeau	NOM	jambeau
(	PUN	(
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
6	NUM	@card@
rozalski	NOM	rozalski
(	PUN	(
nancy	NOM	nancy
)	PUN	)
;	PUN	;
7	NUM	@card@
blanchet	NOM	blanchet
(	PUN	(
essey	NOM	essey
)	PUN	)
;	PUN	;
8	NUM	@card@
breton	NOM	breton
(	PUN	(
saint-max	NOM	saint-max
)	PUN	)
;	PUN	;
9	NUM	@card@
colin	NOM	colin
(	PUN	(
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
10	NUM	@card@
thiebaut	NOM	thiebaut
(	PUN	(
pulnoy	NOM	pulnoy
).	VER:ppre	).
poussins	NOM	poussin
et	KON	et
benjamins	NOM	benjamin
:	PUN	:
1	NUM	@card@
delorme	NOM	delorme
;	PUN	;
2	NUM	@card@
rozalski	NOM	rozalski
(	PUN	(
nancy	NOM	nancy
)	PUN	)
;	PUN	;
3	NUM	@card@
parmentier	NOM	parmentier
(	PUN	(
jarville	NOM	jarville
)	PUN	)
;	PUN	;
4	NUM	@card@
ogiez	VER:impf	ogiez
(	PUN	(
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
5	NUM	@card@
arnould	NOM	arnould
(	PUN	(
