l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
agnès	NOM	agnès
et	KON	et
jean-luc	NOM	jean-luc
diotisalvi	VER:pper	diotisalvi
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
89.73	NUM	@card@
.	SENT	.
28.	PRO	@ord@
,	PUN	,
viraggo	NOM	viraggo
5	NUM	@card@
5	NUM	@card@
@	NOM	@
aol	ADJ	aol
.	SENT	.
com	NOM	com
.	SENT	.
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
malard	NOM	malard
à	PRP	à
vaucouleurs	NOM	vaucouleurs
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
89.40	NUM	@card@
.	SENT	.
53	NUM	@card@
