l'	DET:ART	le
actualité	NOM	actualité
oblige	VER:pres	obliger
,	PUN	,
michel	NOM	michel
dinet	ADJ	dinet
,	PUN	,
président	NOM	président
du	PRP:det	du
conseil	NOM	conseil
général	ADJ	général
de	PRP	de
meurthe-et-moselle	NOM	meurthe-et-moselle
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
du	PRP:det	du
canton	NOM	canton
de	PRP	de
colombey-les-belles	NOM	colombey-les-belles
,	PUN	,
à	PRP	à
reporter	VER:infi	reporter
sa	DET:POS	son
permanence	NOM	permanence
mensuelle	ADJ	mensuel
prévue	VER:pper	prévoir
initialement	ADV	initialement
vendredi	NOM	vendredi
10	NUM	@card@
janvier	NOM	janvier
à	PRP	à
9	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
mardi	NOM	mardi
14	NUM	@card@
janvier	NOM	janvier
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
de	PRP	de
barisey-au-plain	NOM	barisey-au-plain
.	SENT	.
