des	PRP:det	du
messes	NOM	messe
seront	VER:futu	être
célébrées	VER:pper	célébrer
ce	PRO:DEM	ce
week-end	NOM	week-end
dans	PRP	dans
l'	DET:ART	le
unité	NOM	unité
pastorale	ADJ	pastoral
.	SENT	.
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
saint-pierre	NOM	saint-pierre
.	SENT	.
dimanche	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
;	PUN	;
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
doubs	NOM	doubs
,	PUN	,
chaffois	NOM	chaffois
et	KON	et
sainte-colombe	NOM	sainte-colombe
;	PUN	;
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
saint-pierre	NOM	saint-pierre
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
saint-bénigne	NOM	saint-bénigne
et	KON	et
la	DET:ART	le
cluse	NOM	cluse
.	SENT	.
