l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
chantal	ADJ	chantal
schneider	NOM	schneider
,	PUN	,
à	PRP	à
nicey	NOM	nicey
,	PUN	,
tél-fax	NOM	tél-fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
20	NUM	@card@
codecom	NOM	codecom
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
communes	NOM	commune
forestières	ADJ	forestier
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
