masculins	ADJ	masculin
:	PUN	:
moins	ADV	moins
de	PRP	de
65	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
lardière	NOM	lardière
(	PUN	(
vesoul	NOM	vesoul
)	PUN	)
;	PUN	;
2	NUM	@card@
dausse	NOM	dausse
(	PUN	(
iks	NOM	iks
)	PUN	)
;	PUN	;
3	NUM	@card@
ouguezzi	NOM	ouguezzi
(	PUN	(
ks	NOM	ks
25	NUM	@card@
)	PUN	)
moins	ADV	moins
de	PRP	de
70	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
harani	NOM	harani
(	PUN	(
iks	NOM	iks
)	PUN	)
;	PUN	;
2	NUM	@card@
robin	NOM	robin
(	PUN	(
ec	VER:simp	ec
belfort	NOM	belfort
)	PUN	)
;	PUN	;
3	NUM	@card@
rubi	NOM	rubi
(	PUN	(
kc	NOM	kc
bavans	ADJ	bavans
)	PUN	)
et	KON	et
salvi	ADJ	salvi
(	PUN	(
iks	NOM	iks
)	PUN	)
moins	ADV	moins
de	PRP	de
75	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
gonsalek	NOM	gonsalek
(	PUN	(
dijo	ADJ	dijo
fc	NOM	fc
)	PUN	)
;	PUN	;
2	NUM	@card@
fassouh	NOM	fassouh
(	PUN	(
pka	NOM	pka
)	PUN	)
;	PUN	;
3	NUM	@card@
elhiri	NOM	elhiri
(	PUN	(
ks	NOM	ks
héricourt	ADJ	héricourt
)	PUN	)
et	KON	et
douville	NOM	douville
(	PUN	(
asmb	NOM	asmb
)	PUN	)
moins	ADV	moins
de	PRP	de
80	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
lécuyer	NOM	lécuyer
(	PUN	(
pka	NOM	pka
)	PUN	)
;	PUN	;
2	NUM	@card@
atar	NOM	atar
(	PUN	(
kc	NOM	kc
bavans	ADJ	bavans
)	PUN	)
plus	ADV	plus
de	PRP	de
80	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
menyomo	NOM	menyomo
(	PUN	(
pka	NOM	pka
)	PUN	)
;	PUN	;
2	NUM	@card@
taillard	NOM	taillard
(	PUN	(
iks	NOM	iks
)	PUN	)
3	NUM	@card@
erdogan	NOM	erdogan
(	PUN	(
iks	NOM	iks
)	PUN	)
et	KON	et
elyagoubi	NOM	elyagoubi
(	PUN	(
l'	DET:ART	le
isle-sur-le-doubs	NOM	isle-sur-le-doubs
)	PUN	)
open	ADJ	open
:	PUN	:
1	NUM	@card@
menyomo	NOM	menyomo
;	PUN	;
2	NUM	@card@
lécuyer	NOM	lécuyer
;	PUN	;
3	NUM	@card@
atar	NOM	atar
par	PRP	par
équipes	NOM	équipe
:	PUN	:
1	NUM	@card@
pka	NOM	pka
féminines	ADJ	féminin
:	PUN	:
moins	ADV	moins
de	PRP	de
53	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
delisse	NOM	delisse
(	PUN	(
dojo	NOM	dojo
fc	ADJ	fc
)	PUN	)
;	PUN	;
2	NUM	@card@
abassa	VER:simp	abassa
(	PUN	(
ec	VER:simp	ec
belfort	NOM	belfort
)	PUN	)
;	PUN	;
3	NUM	@card@
novelle	NOM	novelle
(	PUN	(
héricourt	ADJ	héricourt
)	PUN	)
moins	ADV	moins
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
mathieu	NOM	mathieu
(	PUN	(
héricourt	ADJ	héricourt
)	PUN	)
;	PUN	;
2	NUM	@card@
humbert	NOM	humbert
(	PUN	(
iks	NOM	iks
)	PUN	)
plus	ADV	plus
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
trullas	NOM	trullas
(	PUN	(
ec	VER:simp	ec
belfort	NOM	belfort
)	PUN	)
;	PUN	;
2	NUM	@card@
vuicher	NOM	vuicher
(	PUN	(
kc	NOM	kc
delle	NOM	delle
)	PUN	)
;	PUN	;
3	NUM	@card@
voiret	NOM	voiret
(	PUN	(
iks	NOM	iks
)	PUN	)
et	KON	et
rose	ADJ	rose
(	PUN	(
dole	VER:pres	doler
)	PUN	)
open	ADJ	open
:	PUN	:
1	NUM	@card@
humbert	NOM	humbert
;	PUN	;
2	NUM	@card@
mathieu	NOM	mathieu
;	PUN	;
3	NUM	@card@
vuiret	NOM	vuiret
minimes	ADJ	minime
g	VER:simp	g
:	PUN	:
moins	ADV	moins
de	PRP	de
55	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
ouguezzi	NOM	ouguezzi
(	PUN	(
ks	NOM	ks
25	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
harani	NOM	harani
(	PUN	(
kc	NOM	kc
delle	NOM	delle
)	PUN	)
;	PUN	;
3	NUM	@card@
berrahioui	NOM	berrahioui
(	PUN	(
béthoncourt	ADJ	béthoncourt
)	PUN	)
et	KON	et
robert	NOM	robert
(	PUN	(
seloncourt	ADJ	seloncourt
)	PUN	)
moins	ADV	moins
de	PRP	de
50	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
asses	NOM	asse
(	PUN	(
asmb	NOM	asmb
)	PUN	)
;	PUN	;
2	NUM	@card@
chahed	NOM	chahed
(	PUN	(
beaucourt	NOM	beaucourt
)	PUN	)
moins	ADV	moins
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
mati	VER:pper	matir
(	PUN	(
iks	NOM	iks
)	PUN	)
moins	ADV	moins
de	PRP	de
65	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
zengin	NOM	zengin
(	PUN	(
vesoul	NOM	vesoul
)	PUN	)
;	PUN	;
2	NUM	@card@
naudin	NOM	naudin
(	PUN	(
dole	VER:pres	doler
)	PUN	)
;	PUN	;
3	NUM	@card@
conti	NOM	conti
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
et	KON	et
poinsot	NOM	poinsot
(	PUN	(
grand-charmont	VER:futu	grand-charmont
)	PUN	)
moins	ADV	moins
de	PRP	de
70	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
fontes	NOM	fonte
(	PUN	(
héricourt	ADJ	héricourt
)	PUN	)
;	PUN	;
2	NUM	@card@
berrahioui	NOM	berrahioui
(	PUN	(
béthoncourt	ADJ	béthoncourt
)	PUN	)
;	PUN	;
3	NUM	@card@
pegeot	NOM	pegeot
(	PUN	(
iks	NOM	iks
)	PUN	)
et	KON	et
legrain	NOM	legrain
(	PUN	(
iks	NOM	iks
)	PUN	)
minimes	ADJ	minime
f	NOM	f
:	PUN	:
moins	ADV	moins
de	PRP	de
45	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
ngo	NOM	ngo
(	PUN	(
ks	NOM	ks
25	NUM	@card@
)	PUN	)
moins	ADV	moins
de	PRP	de
50	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
hillier	NOM	hillier
(	PUN	(
pka	NOM	pka
)	PUN	)
;	PUN	;
2	NUM	@card@
pattey	NOM	pattey
(	PUN	(
iks	NOM	iks
)	PUN	)
;	PUN	;
3	NUM	@card@
kloucka	NOM	kloucka
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
et	KON	et
bossardet	NOM	bossardet
(	PUN	(
bavans	ADJ	bavans
)	PUN	)
moins	ADV	moins
de	PRP	de
55	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
thevenin	NOM	thevenin
(	PUN	(
iks	NOM	iks
)	PUN	)
;	PUN	;
2	NUM	@card@
laprand	NOM	laprand
(	PUN	(
bavans	ADJ	bavans
)	PUN	)
moins	ADV	moins
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
sindjic	NOM	sindjic
(	PUN	(
cravanche	NOM	cravanche
)	PUN	)
;	PUN	;
2	NUM	@card@
guigney	NOM	guigney
(	PUN	(
cravanche	NOM	cravanche
)	PUN	)
plus	ADV	plus
de	PRP	de
60	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
castellon	NOM	castellon
(	PUN	(
dole	VER:pres	doler
)	PUN	)
;	PUN	;
2	NUM	@card@
medina	NOM	medina
(	PUN	(
saône	NOM	saône
)	PUN	)
;	PUN	;
3	NUM	@card@
benoual	NOM	benoual
(	PUN	(
béthoncourt	ADJ	béthoncourt
)	PUN	)
et	KON	et
burel	ADJ	burel
(	PUN	(
cravanche	NOM	cravanche
)	PUN	)
