féminines	ADJ	féminin
:	PUN	:
une	DET:ART	un
engagée	VER:pper	engager
.	SENT	.
lise	NOM	lise
duclap	NOM	duclap
(	PUN	(
junior	NOM	junior
1	NUM	@card@
r	NOM	r
e	VER:subi	e
année	NOM	année
),	ADJ	),
championne	NOM	champion
de	PRP	de
lorraine	ADJ	lorrain
seniors	NOM	senior
en	PRP	en
plus	ADV	plus
de	PRP	de
60	NUM	@card@
kg	ABR	kg
.	SENT	.
masculins	ADJ	masculin
:	PUN	:
11	NUM	@card@
engagés	VER:pper	engager
.	SENT	.
sont	VER:pres	être
sacrés	ADJ	sacré
champions	NOM	champion
de	PRP	de
lorraine	ADJ	lorrain
seniors	NOM	senior
:	PUN	:
jean-françois	NOM	jean-françois
tiercy	NOM	tiercy
en	PRP	en
moins	ADV	moins
de	PRP	de
60	NUM	@card@
kg	ABR	kg
;	PUN	;
stéphane	ADJ	stéphane
henry	NOM	henry
(	PUN	(
junior	NOM	junior
3	NUM	@card@
e	ADJ	e
année	NOM	année
)	PUN	)
en	PRP	en
moins	ADV	moins
de	PRP	de
65	NUM	@card@
kg	ABR	kg
;	PUN	;
geoffrey	NOM	geoffrey
olivieri	NOM	olivieri
(	PUN	(
junior	NOM	junior
3	NUM	@card@
e	ADJ	e
année	NOM	année
)	PUN	)
en	PRP	en
moins	ADV	moins
de	PRP	de
75	NUM	@card@
kg	ABR	kg
;	PUN	;
erhan	ADJ	erhan
cicek	NOM	cicek
en	PRP	en
moins	ADV	moins
de	PRP	de
80	NUM	@card@
kg	ABR	kg
;	PUN	;
mohamed	NOM	mohamed
abou	ADJ	abou
moussa	VER:simp	mousser
en	PRP	en
plus	ADV	plus
de	PRP	de
80	NUM	@card@
kg	ABR	kg
et	KON	et
en	PRP	en
toutes	PRO:IND	tout
catégories	NOM	catégorie
;	PUN	;
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
villers	NOM	villers
composée	VER:pper	composer
de	PRP	de
abou	NOM	abou
moussa	VER:simp	mousser
,	PUN	,
cicek	NOM	cicek
,	PUN	,
tiercy	NOM	tiercy
,	PUN	,
henry	NOM	henry
,	PUN	,
barthélémy	NOM	barthélémy
,	PUN	,
derdour	NOM	derdour
et	KON	et
olivieri	NOM	olivieri
.	SENT	.
sont	VER:pres	être
vice-champions	NOM	vice-champions
de	PRP	de
lorraine	NOM	lorrain
:	PUN	:
gengis	NOM	gengis
taskale	ADJ	taskale
en	PRP	en
moins	ADV	moins
de	PRP	de
75	NUM	@card@
kg	ABR	kg
;	PUN	;
fabien	NOM	fabien
barthélémy	NOM	barthélémy
en	PRP	en
plus	ADV	plus
de	PRP	de
80	NUM	@card@
kg	ABR	kg
;	PUN	;
erhan	ADJ	erhan
cicek	NOM	cicek
en	PRP	en
toutes	PRO:IND	tout
catégories	NOM	catégorie
.	SENT	.
se	PRO:PER	se
sont	VER:pres	être
classés	VER:pper	classer
3	NUM	@card@
e	NOM	e
:	PUN	:
nicolas	VER:simp	nicolas
gyselinck	NOM	gyselinck
en	PRP	en
moins	ADV	moins
de	PRP	de
80	NUM	@card@
kg	ABR	kg
;	PUN	;
abdellah	NOM	abdellah
derdour	ADJ	derdour
et	KON	et
alexandre	ADJ	alexandre
damerval	NOM	damerval
en	PRP	en
plus	ADV	plus
de	PRP	de
80	NUM	@card@
kg	ABR	kg
.	SENT	.
