né	VER:pper	naître
le	DET:ART	le
28	NUM	@card@
octobre	NOM	octobre
1970	NUM	@card@
à	PRP	à
metz	ADJ	metz
défenseur	NOM	défenseur
.	SENT	.
1,85	NUM	@card@
m	NOM	m
;	PUN	;
80	NUM	@card@
kg	ABR	kg
.	SENT	.
clubs	NOM	club
successifs	ADJ	successif
89	NUM	@card@
-	PUN	-
90	NUM	@card@
:	PUN	:
inf	NOM	inf
vichy	NOM	vichy
(	PUN	(
d	VER:simp	d
3)	NOM	3)
90	NUM	@card@
-	PUN	-
91	NUM	@card@
:	PUN	:
fc	NOM	fc
sochaux	ADJ	sochaux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
1	NUM	@card@
match	NOM	match
,	PUN	,
0	NUM	@card@
but	NOM	but
)	PUN	)
91	NUM	@card@
-	PUN	-
92	NUM	@card@
:	PUN	:
fc	NOM	fc
sochaux	ADJ	sochaux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
28	ABR	@card@
1	NUM	@card@
)	PUN	)
92	NUM	@card@
-	PUN	-
93	NUM	@card@
:	PUN	:
fc	NOM	fc
sochaux	ADJ	sochaux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
35	ABR	@card@
1	NUM	@card@
)	PUN	)
93	NUM	@card@
-	PUN	-
94	NUM	@card@
:	PUN	:
fc	NOM	fc
sochaux	ADJ	sochaux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
36	ABR	@card@
1	NUM	@card@
)	PUN	)
94	NUM	@card@
-	PUN	-
95	NUM	@card@
:	PUN	:
fc	NOM	fc
sochaux	ADJ	sochaux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
31	ABR	@card@
0	NUM	@card@
)	PUN	)
95	NUM	@card@
-	PUN	-
96	NUM	@card@
:	PUN	:
châteauroux	NOM	châteauroux
(	PUN	(
d	VER:pper	d
2,	NUM	@card@
38	ABR	@card@
1	NUM	@card@
)	PUN	)
96	NUM	@card@
-	PUN	-
97	NUM	@card@
:	PUN	:
châteauroux	NOM	châteauroux
(	PUN	(
d	VER:pper	d
2,	NUM	@card@
40	ABR	@card@
6	NUM	@card@
)	PUN	)
97	NUM	@card@
-	PUN	-
98	NUM	@card@
:	PUN	:
châteauroux	NOM	châteauroux
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
31	ABR	@card@
1	NUM	@card@
)	PUN	)
98	NUM	@card@
-	PUN	-
99	NUM	@card@
:	PUN	:
le	DET:ART	le
havre	NOM	havre
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
31	ABR	@card@
1	NUM	@card@
)	PUN	)
99	NUM	@card@
-	PUN	-
00	NUM	@card@
:	PUN	:
le	DET:ART	le
havre	NOM	havre
(	PUN	(
d	VER:pper	d
1,	NUM	@card@
31	ABR	@card@
1	NUM	@card@
)	PUN	)
01	NUM	@card@
-	PUN	-
02	NUM	@card@
:	PUN	:
grenoble	ADJ	grenoble
(	PUN	(
d	VER:pper	d
2,	NUM	@card@
32	ABR	@card@
2	NUM	@card@
)	PUN	)
02	NUM	@card@
-	PUN	-
03	NUM	@card@
:	PUN	:
grenoble	ADJ	grenoble
(	PUN	(
d	VER:pper	d
2,	NUM	@card@
11	ABR	@card@
0	NUM	@card@
)	PUN	)
