l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
bernadette	NOM	bernadette
fischer	ADJ	fischer
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
71.31	NUM	@card@
.	SENT	.
08	NUM	@card@
).	ABR	).
aujourd'hui	ADV	aujourd'hui
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
club	NOM	club
détente	NOM	détente
en	PRP	en
mairie	NOM	mairie
à	PRP	à
11	NUM	@card@
h.	ABR	h.
messe	NOM	messe
à	PRP	à
cousances-les-forges	NOM	cousances-les-forges
à	PRP	à
18	NUM	@card@
h.	ABR	h.
demain	ADV	demain
messe	NOM	messe
à	PRP	à
lisle-en-rigault	NOM	lisle-en-rigault
à	PRP	à
11	NUM	@card@
h.	ABR	h.
