une	DET:ART	un
belle	ADJ	beau
petite	ADJ	petit
fille	NOM	fille
,	PUN	,
prénommée	VER:pper	prénommer
lya	NOM	lya
,	PUN	,
pesant	VER:ppre	peser
3	NUM	@card@
kg	ABR	kg
580	NUM	@card@
et	KON	et
mesurant	VER:ppre	mesurer
50	NUM	@card@
cm	NOM	cm
,	PUN	,
est	VER:pres	être
venue	VER:pper	venir
apporter	VER:infi	apporter
beaucoup	ADV	beaucoup
de	PRP	de
joie	NOM	joie
au	PRP:det	au
foyer	NOM	foyer
de	PRP	de
dany	NOM	dany
bronner	ADJ	bronner
et	KON	et
nicole	ADJ	nicole
alexandre	NOM	alexandre
,	PUN	,
résidant	VER:ppre	résider
7	NUM	@card@
rue	NOM	rue
haute	ADJ	haut
à	PRP	à
landzécourt	NOM	landzécourt
.	SENT	.
v	NOM	v
	NOM	
ux	ADJ	ux
au	PRP:det	au
bébé	NOM	bébé
.	SENT	.
