prochainement	ADV	prochainement
sera	VER:futu	être
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
edem	NOM	edem
lauwson	NOM	lauwson
anani	ADJ	anani
soh	ADJ	soh
,	PUN	,
revendeur	NOM	revendeur
et	KON	et
de	PRP	de
florence	NOM	florence
feuillet	NOM	feuillet
,	PUN	,
aide-soignante	NOM	aide-soignante
,	PUN	,
demeurant	VER:ppre	demeurer
rue	NOM	rue
de	PRP	de
la	DET:ART	le
gratotte	NOM	gratotte
,	PUN	,
à	PRP	à
geneuille	NOM	geneuille
.	SENT	.
