l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.34	NUM	@card@
.	SENT	.
39	NUM	@card@
;	PUN	;
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
75.38	NUM	@card@
.	SENT	.
49	NUM	@card@
la	DET:ART	le
poste	NOM	poste
:	PUN	:
.	SENT	.
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
bibliothèque	NOM	bibliothèque
:	PUN	:
.	SENT	.
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
basket-ball	NOM	basket-ball
:	PUN	:
benjamins/souilly	NOM	benjamins/souilly
,	PUN	,
à	PRP	à
14	NUM	@card@
h.	ABR	h.
handball	NOM	handball
:	PUN	:
cousances/montmédy	NAM	cousances/montmédy
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
rupt/commercy	NOM	rupt/commercy
(	PUN	(
2	NUM	@card@
),	ABR	),
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
boxe	NOM	boxe
(	PUN	(
championnat	NOM	championnat
de	PRP	de
france	NOM	france
)	PUN	)
:	PUN	:
moktar	NOM	moktar
letaief	NOM	letaief
,	PUN	,
en	PRP	en
1	NUM	@card@
/	PUN	/
2	NUM	@card@
finale	ADJ	final
mi-mouche	NOM	mi-mouche
à	PRP	à
longuyon	NOM	longuyon
;	PUN	;
nicolas	VER:simp	nicolas
vaglio	NOM	vaglio
,	PUN	,
en	PRP	en
1	NUM	@card@
/	PUN	/
4	NUM	@card@
de	PRP	de
finale	NOM	finale
à	PRP	à
beaune	NOM	beaune
.	SENT	.
