la	DET:ART	le
mathieu	NOM	mathieu
,	PUN	,
née	VER:pper	naître
morel	NOM	morel
,	PUN	,
employée	VER:pper	employer
de	PRP	de
bureau	NOM	bureau
,	PUN	,
à	PRP	à
fleurey	ADJ	fleurey
lès-saint-loup	NOM	lès-saint-loup
.	SENT	.
marc	NOM	marc
moretto	NOM	moretto
,	PUN	,
ouvrier	ADJ	ouvrier
,	PUN	,
à	PRP	à
faverney	NOM	faverney
;	PUN	;
nelly	NOM	nelly
nocentini	VER:pper	nocentini
,	PUN	,
employée	VER:pper	employer
service	NOM	service
transport	NOM	transport
,	PUN	,
à	PRP	à
conflans	NOM	conflans
sur	PRP	sur
lanterne	NOM	lanterne
;	PUN	;
brigitte	VER:pres	brigitte
mougin	NOM	mougin
,	PUN	,
agent	NOM	agent
qualité	NOM	qualité
,	PUN	,
à	PRP	à
saint	ADJ	saint
loup-sur-semouse	NOM	loup-sur-semouse
;	PUN	;
rené	VER:pper	renaître
olivier	NOM	olivier
,	PUN	,
conducteur	NOM	conducteur
d'	PRP	de
équipement	NOM	équipement
,	PUN	,
à	PRP	à
breuchotte	NOM	breuchotte
;	PUN	;
mohamed	NOM	mohamed
ouayad	NOM	ouayad
,	PUN	,
ouvrier	ADJ	ouvrier
,	PUN	,
à	PRP	à
saint	ADJ	saint
loup	NOM	loup
sur	PRP	sur
semouse	NOM	semouse
;	PUN	;
liliane	ADJ	liliane
parret	NOM	parret
,	PUN	,
née	VER:pper	naître
gravier	NOM	gravier
,	PUN	,
employée	NOM	employé
administrative	ADJ	administratif
,	PUN	,
à	PRP	à
fougerolles	NOM	fougerolles
;	PUN	;
joëlle	VER:simp	joëlle
perret	ADJ	perret
,	PUN	,
opératrice	NOM	opérateur
de	PRP	de
chaîne	NOM	chaîne
d'	PRP	de
emballage	NOM	emballage
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
.	SENT	.
kaddour	NOM	kaddour
rahaoui	NOM	rahaoui
,	PUN	,
ouvrier	ADJ	ouvrier
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
;	PUN	;
elisabeth	ADJ	elisabeth
rot	NOM	rot
,	PUN	,
née	VER:pper	naître
guilleminot	NOM	guilleminot
,	PUN	,
employée	NOM	employé
administrative	ADJ	administratif
,	PUN	,
à	PRP	à
saint-sauveur	NOM	saint-sauveur
;	PUN	;
bernard	NOM	bernard
rousselot	ADJ	rousselot
,	PUN	,
chef	NOM	chef
d'	PRP	de
atelier	NOM	atelier
,	PUN	,
à	PRP	à
aillevillers	VER:infi	aillevillers
et	KON	et
lyaumont	VER:futu	lyaumont
;	PUN	;
marguerite	NOM	marguerite
sebille	NOM	sebille
,	PUN	,
née	VER:pper	naître
servette	NOM	servette
,	PUN	,
ouvrière	ADJ	ouvrier
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
.	SENT	.
peugeot	NOM	peugeot
citroën	NOM	citroën
automobiles	ADJ	automobile
,	PUN	,
montbéliard	NOM	montbéliard
:	PUN	:
erick	NOM	erick
durupt	ADJ	durupt
,	PUN	,
tôlier	NOM	tôlier
,	PUN	,
à	PRP	à
roye	NOM	roye
;	PUN	;
pascal	ADJ	pascal
hamel	NOM	hamel
,	PUN	,
responsable	ADJ	responsable
d'	PRP	de
unité	NOM	unité
,	PUN	,
à	PRP	à
héricourt	NOM	héricourt
;	PUN	;
jean-claude	NOM	jean-claude
hennequin	ADJ	hennequin
,	PUN	,
pilote	VER:pres	piloter
installation	NOM	installation
,	PUN	,
à	PRP	à
moffans-et-vacheresse	NOM	moffans-et-vacheresse
;	PUN	;
gilles	NOM	gille
marchand	ADJ	marchand
,	PUN	,
monteur-retoucheur	NOM	monteur-retoucheur
,	PUN	,
à	PRP	à
lure	NOM	lure
;	PUN	;
philippe	ADJ	philippe
mion	NOM	mion
,	PUN	,
fraiseur	NOM	fraiseur
,	PUN	,
à	PRP	à
coisevaux	NOM	coisevaux
;	PUN	;
denis	NOM	denis
nardin	NOM	nardin
,	PUN	,
maquettiste	NOM	maquettiste
,	PUN	,
à	PRP	à
frédéric-fontaine	NOM	frédéric-fontaine
;	PUN	;
gérard	ADJ	gérard
pissenem	NOM	pissenem
,	PUN	,
agent	NOM	agent
logistique	NOM	logistique
approvisionnement	NOM	approvisionnement
,	PUN	,
à	PRP	à
champagney	NOM	champagney
;	PUN	;
joël	VER:simp	joël
pourchot	NOM	pourchot
,	PUN	,
agent	NOM	agent
professionnel	ADJ	professionnel
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
à	PRP	à
coisevaux	NOM	coisevaux
;	PUN	;
pascal	NOM	pascal
rousseau	ADJ	rousseau
,	PUN	,
technicien	ADJ	technicien
méthodes	NOM	méthode
,	PUN	,
à	PRP	à
héricourt	NOM	héricourt
;	PUN	;
joël	VER:simp	joël
tremplier	NOM	tremplier
,	PUN	,
professionnel	ADJ	professionnel
essai	NOM	essai
mise	VER:pper	mettre
au	PRP:det	au
point	NOM	point
,	PUN	,
à	PRP	à
frederic	ADJ	frederic
fontaine	NOM	fontaine
;	PUN	;
sultana	NOM	sultana
templier	NOM	templier
,	PUN	,
née	VER:pper	naître
filali	NOM	filali
,	PUN	,
magasinier	NOM	magasinier
,	PUN	,
à	PRP	à
frédéric-fontaine	NOM	frédéric-fontaine
;	PUN	;
jean-louis	NOM	jean-louis
vienot	ADJ	vienot
,	PUN	,
agent	NOM	agent
professionnel	ADJ	professionnel
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
à	PRP	à
crevans	NOM	crevans
et	KON	et
la	DET:ART	le
chapelle	NOM	chapelle
les-granges	ADJ	les-granges
.	SENT	.
