ils	PRO:PER	il
furent	VER:simp	être
seize	NUM	seize
à	PRP	à
recevoir	VER:infi	recevoir
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
argent	NOM	argent
,	PUN	,
synonyme	ADJ	synonyme
de	PRP	de
20	NUM	@card@
années	NOM	année
de	PRP	de
services	NOM	service
travaillés	VER:pper	travailler
,	PUN	,
comme	ADV	comme
odette	NOM	odette
demaret	NOM	demaret
,	PUN	,
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
qualifié	VER:pper	qualifier
,	PUN	,
entrée	NOM	entrée
à	PRP	à
la	DET:ART	le
ville	NOM	ville
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
1982	NUM	@card@
à	PRP	à
l'	DET:ART	le
école	NOM	école
primaire	ADJ	primaire
du	PRP:det	du
château	NOM	château
et	KON	et
aujourd'hui	ADV	aujourd'hui
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
.	SENT	.
annie	NOM	annie
muffolini	NOM	muffolini
,	PUN	,
entrée	NOM	entrée
à	PRP	à
la	DET:ART	le
même	ADJ	même
date	NOM	date
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
agent	NOM	agent
de	PRP	de
bureau	NOM	bureau
dactylographe	NOM	dactylographe
,	PUN	,
aujourd'hui	ADV	aujourd'hui
adjoint	VER:pper	adjoindre
administratif	ADJ	administratif
principal	ADJ	principal
de	PRP	de
2	NUM	@card@
e	ADJ	e
classe	NOM	classe
.	SENT	.
marie-thérèse	NOM	marie-thérèse
droz	NAM	droz
,	PUN	,
entrée	NOM	entrée
en	PRP	en
qualité	NOM	qualité
de	PRP	de
sténodactylo	NOM	sténodactylo
stagiaire	ADJ	stagiaire
au	PRP:det	au
service	NOM	service
population	NOM	population
,	PUN	,
aujourd'hui	ADV	aujourd'hui
adjoint	VER:pper	adjoindre
administratif	ADJ	administratif
au	PRP:det	au
service	NOM	service
cles	NOM	cles
.	SENT	.
martine	VER:pres	martiner
lamotte	NOM	lamotte
,	PUN	,
embauchée	VER:pper	embaucher
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
1982	NUM	@card@
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
agent	NOM	agent
de	PRP	de
service	NOM	service
auxiliaire	ADJ	auxiliaire
,	PUN	,
aujourd'hui	ADV	aujourd'hui
affectée	VER:pper	affecter
à	PRP	à
la	DET:ART	le
restauration	NOM	restauration
centrale	ADJ	central
et	KON	et
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
qualifié	VER:pper	qualifier
.	SENT	.
alain	NOM	alain
rose	ADJ	rose
,	PUN	,
entré	VER:pper	entrer
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
1983	NUM	@card@
comme	KON	comme
ouvrier	ADJ	ouvrier
professionnel	NOM	professionnel
stagiaire	ADJ	stagiaire
,	PUN	,
aujourd'hui	ADV	aujourd'hui
affecté	VER:pper	affecter
au	PRP:det	au
service	NOM	service
«	PUN:cit	«
espaces	NOM	espace
verts	ADJ	vert
»	PUN:cit	»
même	ADJ	même
service	NOM	service
pour	PRP	pour
gilles	NOM	gille
viard	ADJ	viard
,	PUN	,
embauché	VER:pper	embaucher
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
avril	NOM	avril
1983	NUM	@card@
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
ouvrier	NOM	ouvrier
de	PRP	de
la	DET:ART	le
voie	NOM	voie
publique	ADJ	publique
et	KON	et
désormais	ADV	désormais
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
qualifié	VER:pper	qualifier
.	SENT	.
pascale	ADJ	pascal
augstburger	NOM	augstburger
,	PUN	,
entrée	NOM	entrée
à	PRP	à
la	DET:ART	le
ville	NOM	ville
le	DET:ART	le
26	NUM	@card@
août	NOM	août
1982	NUM	@card@
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
agent	NOM	agent
de	PRP	de
service	NOM	service
,	PUN	,
aujourd'hui	ADV	aujourd'hui
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
qualifié	VER:pper	qualifier
à	PRP	à
l'	DET:ART	le
école	NOM	école
primaire	ADJ	primaire
du	PRP:det	du
château	NOM	château
.	SENT	.
maryse	NOM	maryse
dillensiger	ADJ	dillensiger
,	PUN	,
entrée	VER:pper	entrer
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
1981	NUM	@card@
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
aide	NOM	aide
ouvrière	ADJ	ouvrier
professionnelle	ADJ	professionnel
,	PUN	,
aujourd'hui	ADV	aujourd'hui
atsem	ADJ	atsem
de	PRP	de
deuxième	NUM	deuxième
classe	NOM	classe
à	PRP	à
la	DET:ART	le
maternelle	ADJ	maternel
charles	NOM	charles
perrault	ADJ	perrault
.	SENT	.
muriel	ADJ	muriel
grandjean	NOM	grandjean
,	PUN	,
entrée	VER:pper	entrer
le	DET:ART	le
3	NUM	@card@
