gardiens	NOM	gardien
:	PUN	:
sehrani	ADJ	sehrani
(	PUN	(
saint-dié	ADJ	saint-dié
),	NOM	),
barbian	NOM	barbian
(	PUN	(
thionville	NOM	thionville
).	VER:ppre	).
défenseurs	NOM	défenseur
:	PUN	:
jager	NOM	jager
(	PUN	(
saint-dié	ADJ	saint-dié
),	NOM	),
lefebvre	NOM	lefebvre
(	PUN	(
blénod	NOM	blénod
),	ADJ	),
niabaly	ADJ	niabaly
(	PUN	(
algrange	VER:pres	algrange
),	ADJ	),
steiner	NOM	steiner
(	PUN	(
montbronn	NOM	montbronn
).	VER:ppre	).
milieux	NOM	milieu
:	PUN	:
lakbir	NOM	lakbir
(	PUN	(
sarreguemines	NOM	sarreguemines
),	ADJ	),
luthardt	NOM	luthardt
(	PUN	(
thionville	NOM	thionville
),	ADJ	),
mahler	NOM	mahler
(	PUN	(
epinal	NOM	epinal
),	ADJ	),
mounass	NOM	mounass
(	PUN	(
toul	ADJ	toul
),	NOM	),
nicolen	ADJ	nicolen
(	PUN	(
epinal	NOM	epinal
),	ADJ	),
ravenel	NOM	ravenel
(	PUN	(
algrange	VER:pres	algrange
),	ADJ	),
schille	NOM	schille
(	PUN	(
magny	NAM	magny
).	VER:simp	).
attaquants	ADJ	attaquant
:	PUN	:
finck	NOM	finck
(	PUN	(
epinal	NOM	epinal
),	ADJ	),
jahier	NOM	jahier
(	PUN	(
toul	ADJ	toul
),	NOM	),
kermaoui	ADJ	kermaoui
(	PUN	(
algrange	VER:pres	algrange
),	ADJ	),
motyka	NOM	motyka
(	PUN	(
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
).	ADJ	).
