les	DET:ART	le
stades	NOM	stade
seront-ils	VER:futu	seront-ils
praticables	ADJ	praticable
dimanche	NOM	dimanche
?	SENT	?
dimanche	NOM	dimanche
9	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
(	PUN	(
18	NUM	@card@
ans	NOM	an
promotion	NOM	promotion
elite	ADJ	elite
)	PUN	)
:	PUN	:
port-sur-saône	NOM	port-sur-saône
1	NUM	@card@
-	PUN	-
fc	NOM	fc
giro-lepuix	NOM	giro-lepuix
1	NUM	@card@
a	VER:pres	avoir
12	NUM	@card@
h	ABR	heure
45	NUM	@card@
(	PUN	(
15	NUM	@card@
ans	NOM	an
promotion	NOM	promotion
excellence	NOM	excellence
)	PUN	)
:	PUN	:
as	VER:pres	avoir
rougegoutte	NOM	rougegoutte
-	PUN	-
as	VER:pres	avoir
plateau	NOM	plateau
1	NUM	@card@
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
18	NUM	@card@
ans	NOM	an
promotion	NOM	promotion
)	PUN	)
au	PRP:det	au
stade	NOM	stade
travers	NOM	travers
à	PRP	à
giromagny	NAM	giromagny
:	PUN	:
fc	NOM	fc
giro-lepuix	NOM	giro-lepuix
2	NUM	@card@
-	PUN	-
offemont	VER:futu	offemont
1	NUM	@card@
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
2	NUM	@card@
e	ADJ	e
division	NOM	division
)	PUN	)
:	PUN	:
fc	NOM	fc
bourogne	NOM	bourogne
1	NUM	@card@
-	PUN	-
asr	NOM	asr
2	NUM	@card@
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
promotion	NOM	promotion
honneur	NOM	honneur
)	PUN	)
:	PUN	:
as	VER:pres	avoir
rougegoutte	NOM	rougegoutte
1	NUM	@card@
-	PUN	-
roche-novillars	NOM	roche-novillars
2	NUM	@card@
