masculins	ADJ	masculin
:	PUN	:
60	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
elhaiti	NOM	elhaiti
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
7	NUM	@card@
''	NOM	''
01	NUM	@card@
200	NUM	@card@
m	NOM	m
:	PUN	:
finale	NOM	finale
3	NUM	@card@
:	PUN	:
1	NUM	@card@
wilane	NOM	wilane
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
23	NUM	@card@
''	NOM	''
30	NUM	@card@
;	PUN	;
2	NUM	@card@
alfano	NOM	alfano
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
23	NUM	@card@
''	NOM	''
56	NUM	@card@
;	PUN	;
3	NUM	@card@
carval	NOM	carval
(	PUN	(
aire	NOM	aire
urbaine	ADJ	urbain
)	PUN	)
24	NUM	@card@
''	NOM	''
02	NUM	@card@
;	PUN	;
4	NUM	@card@
hakkar	NOM	hakkar
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
).	VER:simp	).
400	NUM	@card@
m	NOM	m
:	PUN	:
finale	NOM	finale
4	NUM	@card@
:	PUN	:
1	NUM	@card@
antoine	NOM	antoine
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
54	NUM	@card@
''	NOM	''
93	NUM	@card@
;	PUN	;
2	NUM	@card@
dumont	NOM	dumont
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
55	NUM	@card@
'	PUN	'
50	NUM	@card@
800	NUM	@card@
m	NOM	m
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
2	NUM	@card@
ribal	NOM	ribal
(	PUN	(
aire	NOM	aire
urbaine	ADJ	urbain
)	PUN	)
1	NUM	@card@
'	PUN	'
55	NUM	@card@
''	NOM	''
15	NUM	@card@
;	PUN	;
3	NUM	@card@
radreau	NOM	radreau
(	PUN	(
fc	NOM	fc
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
'	PUN	'
59	NUM	@card@
''	NOM	''
05	NUM	@card@
60	NUM	@card@
m	ADJ	m
haies	NOM	haie
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
2	NUM	@card@
coutenay	NOM	coutenay
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
8	NUM	@card@
''	NOM	''
95	NUM	@card@
;	PUN	;
5	NUM	@card@
auviste	NOM	auviste
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
9	NUM	@card@
''	NOM	''
51	NUM	@card@
finale	NOM	finale
2	NUM	@card@
:	PUN	:
4	NUM	@card@
tavernier	NOM	tavernier
(	PUN	(
champagnole	NOM	champagnole
)	PUN	)
8	NUM	@card@
''	NOM	''
35	NUM	@card@
;	PUN	;
5	NUM	@card@
rezgui	NOM	rezgui
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
8	NUM	@card@
''	NOM	''
47	NUM	@card@
hauteur	NOM	hauteur
:	PUN	:
finale	ADJ	final
:	PUN	:
2	NUM	@card@
paris	NOM	pari
(	PUN	(
fcsochaux	ADJ	fcsochaux
)	PUN	)
2	NUM	@card@
m	NOM	m
06	NUM	@card@
perche	NOM	perche
:	PUN	:
1	NUM	@card@
grain	NOM	grain
(	PUN	(
aire	NOM	aire
urbaine	ADJ	urbain
)	PUN	)
4	NUM	@card@
m	NOM	m
80	NUM	@card@
;	PUN	;
5	NUM	@card@
abadie	NOM	abadie
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
3	NUM	@card@
m	NOM	m
80	NUM	@card@
longueur	NOM	longueur
:	PUN	:
3	NUM	@card@
hoareau	NOM	hoareau
(	PUN	(
dole	VER:pres	doler
ac	ABR	ac
)	PUN	)
6	NUM	@card@
m	NOM	m
75	NUM	@card@
poids	NOM	poids
:	PUN	:
8	NUM	@card@
rezgui	NOM	rezgui
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
12	NUM	@card@
m	NOM	m
84	NUM	@card@
5.000	NUM	@card@
m	ADJ	m
marche	NOM	marche
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
3	NUM	@card@
starck	NOM	starck
(	PUN	(
aire	NOM	aire
urbaine	ADJ	urbain
athlé	ADJ	athlé
)	PUN	)
22	NUM	@card@
'	PUN	'
27	NUM	@card@
''	NOM	''
3	NUM	@card@
;	PUN	;
11	NUM	@card@
berchebru	NOM	berchebru
(	PUN	(
aire	NOM	aire
urbaine	ADJ	urbain
)	PUN	)
23	NUM	@card@
'	PUN	'
50	NUM	@card@
''	NOM	''
2	NUM	@card@
feminines	NOM	feminines
400	NUM	@card@
m	NOM	m
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
1	NUM	@card@
marguet	NOM	marguet
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
58	NUM	@card@
''	NOM	''
02	NUM	@card@
;	PUN	;
finale	NOM	finale
2	NUM	@card@
:	PUN	:
1	NUM	@card@
bouaksa	VER:simp	bouaksa
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
59	NUM	@card@
''	NOM	''
48	NUM	@card@
1.500	NUM	@card@
m	NOM	m
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
1	NUM	@card@
piot	NOM	piot
(	PUN	(
héricourt	ADJ	héricourt
)	PUN	)
4	NUM	@card@
'	PUN	'
40	NUM	@card@
''	NOM	''
95	NUM	@card@
60	NUM	@card@
m	ADJ	m
haies	NOM	haie
:	PUN	:
finale	NOM	finale
1	NUM	@card@
:	PUN	:
6	NUM	@card@
rueflin	NOM	rueflin
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
8	NUM	@card@
''	NOM	''
95	NUM	@card@
triple	ADJ	triple
saut	NOM	saut
:	PUN	:
1	NUM	@card@
farey	NOM	farey
(	PUN	(
fc	NOM	fc
sochaux	ADJ	sochaux
)	PUN	)
11	NUM	@card@
m	NOM	m
94	NUM	@card@
hauteur	NOM	hauteur
:	PUN	:
1	NUM	@card@
paris	NOM	pari
(	PUN	(
fc	NOM	fc
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
m	NOM	m
68	NUM	@card@
;	PUN	;
2	NUM	@card@
muller	NOM	muller
(	PUN	(
fc	NOM	fc
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
m	NOM	m
63	NUM	@card@
longueur	NOM	longueur
:	PUN	:
2	NUM	@card@
rueflin	NOM	rueflin
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
)	PUN	)
5	NUM	@card@
m	NOM	m
65	NUM	@card@
;	PUN	;
3	NUM	@card@
farey	NOM	farey
(	PUN	(
fc	NOM	fc
sochaux	ADJ	sochaux
)	PUN	)
5	NUM	@card@
m	NOM	m
53	NUM	@card@
