une	DET:ART	un
formidable	ADJ	formidable
joie	NOM	joie
collective	ADJ	collectif
.	SENT	.
tissu	NOM	tissu
,	PUN	,
paillettes	NOM	paillette
,	PUN	,
vinyle	NOM	vinyle
et	KON	et
métal	NOM	métal
pour	KON	pour
d'	PRP	de
extravagants	ADJ	extravagant
et	KON	et
magnifiques	ADJ	magnifique
costumes	VER:pres	costumer
.	SENT	.
