il	PRO:PER	il
est	VER:pres	être
heureux	ADJ	heureux
hugo	ADJ	hugo
,	PUN	,
20	NUM	@card@
mois	NOM	moi|mois
,	PUN	,
de	PRP	de
présenter	VER:infi	présenter
son	DET:POS	son
petit	ADJ	petit
frère	NOM	frère
arthur	ADJ	arthur
,	PUN	,
né	VER:pper	naître
à	PRP	à
toul	NOM	toul
le	DET:ART	le
15	NUM	@card@
décembre	NOM	décembre
.	SENT	.
la	DET:ART	le
maman	NOM	maman
,	PUN	,
virginie	NOM	virginie
cognet	NOM	cognet
,	PUN	,
est	VER:pres	être
assistante	NOM	assistant
sociale	ADJ	social
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
saint-charles	NOM	saint-charles
à	PRP	à
toul	NOM	toul
,	PUN	,
le	DET:ART	le
papa	NOM	papa
,	PUN	,
fabien	NOM	fabien
conty	ADJ	conty
,	PUN	,
est	VER:pres	être
agent	NOM	agent
sncf	NOM	sncf
à	PRP	à
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
cette	PRO:DEM	ce
famille	NOM	famille
sympathique	ADJ	sympathique
habite	VER:pres	habiter
à	PRP	à
la	DET:ART	le
résidence	NOM	résidence
lamarche	ADJ	lamarche
g	VER:simp	g
1	NUM	@card@
depuis	PRP	depuis
1997	NUM	@card@
hugo	ADJ	hugo
devra	VER:futu	devoir
attendre	VER:infi	attendre
pour	PRP	pour
jouer	VER:infi	jouer
avec	PRP	avec
son	DET:POS	son
frère	NOM	frère
,	PUN	,
beau	ADJ	beau
bébé	NOM	bébé
de	PRP	de
3,650	NUM	@card@
kg	ABR	kg
et	KON	et
de	PRP	de
52	NUM	@card@
cm	NOM	cm
à	PRP	à
la	DET:ART	le
naissance	NOM	naissance
,	PUN	,
arrivé	VER:pper	arriver
comme	ADV	comme
un	DET:ART	un
cadeau	NOM	cadeau
de	PRP	de
noël	NOM	noël
.	SENT	.
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
arthur	ADJ	arthur
et	KON	et
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
