espoirs-seniors	NOM	espoirs-seniors
3	NUM	@card@
kolomytzeff	NOM	kolomytzeff
(	PUN	(
giromagny	NAM	giromagny
)	PUN	)
30	NUM	@card@
'	PUN	'
10	NUM	@card@
vétérans	NOM	vétéran
hommes	NOM	homme
:	PUN	:
1	NUM	@card@
tournier	NOM	tournier
(	PUN	(
aua	VER:simp	aua
)	PUN	)
28	NUM	@card@
'	PUN	'
06	NUM	@card@
;	PUN	;
2	NUM	@card@
zaugg	NOM	zaugg
(	PUN	(
aua	VER:simp	aua
)	PUN	)
29	NUM	@card@
'	PUN	'
46	NUM	@card@
;	PUN	;
3	NUM	@card@
grosjean	NOM	grosjean
(	PUN	(
belfort	ADJ	belfort
marathon	NOM	marathon
club	NOM	club
)	PUN	)
30	NUM	@card@
'	PUN	'
05	NUM	@card@
juniors	NOM	junior
cross	NOM	cross
court	ADJ	court
:	PUN	:
1	NUM	@card@
berche	NOM	berche
(	PUN	(
st-germain-le-châtelet	NOM	st-germain-le-châtelet
)	PUN	)
17	NUM	@card@
'	PUN	'
48	NUM	@card@
;	PUN	;
2	NUM	@card@
wimmer	NOM	wimmer
(	PUN	(
aua	VER:simp	aua
)	PUN	)
18	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
3	NUM	@card@
binninger	NOM	binninger
(	PUN	(
aua	VER:simp	aua
)	PUN	)
18	NUM	@card@
'	PUN	'
57	NUM	@card@
cadets	NOM	cadet
:	PUN	:
1	NUM	@card@
michel	NOM	michel
(	PUN	(
aua	VER:simp	aua
)	PUN	)
13	NUM	@card@
'	PUN	'
21	NUM	@card@
;	PUN	;
2	NUM	@card@
bellaabouss	NOM	bellaabouss
(	PUN	(
aua	VER:simp	aua
)	PUN	)
13	NUM	@card@
'	PUN	'
26	NUM	@card@
;	PUN	;
3	NUM	@card@
hambli	ADJ	hambli
(	PUN	(
aua	VER:simp	aua
)	PUN	)
13	NUM	@card@
'	PUN	'
28	NUM	@card@
minimes	ADJ	minime
garçons	NOM	garçon
:	PUN	:
1	NUM	@card@
brunner	NOM	brunner
(	PUN	(
aua	VER:simp	aua
)	PUN	)
11	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
2	NUM	@card@
bohlen	NOM	bohlen
(	PUN	(
aua	VER:simp	aua
)	PUN	)
12	NUM	@card@
'	PUN	'
00	NUM	@card@
;	PUN	;
3	NUM	@card@
lamy	NOM	lamy
(	PUN	(
aua	VER:simp	aua
)	PUN	)
12	NUM	@card@
'	PUN	'
27	NUM	@card@
minimes	ADJ	minime
filles	NOM	fille
:	PUN	:
1	NUM	@card@
locatelli	NOM	locatelli
(	PUN	(
aua	VER:simp	aua
)	PUN	)
12	NUM	@card@
'	PUN	'
14	NUM	@card@
;	PUN	;
2	NUM	@card@
claden	NOM	claden
(	PUN	(
aua	VER:simp	aua
)	PUN	)
12	NUM	@card@
'	PUN	'
56	NUM	@card@
;	PUN	;
3	NUM	@card@
cholley	NOM	cholley
(	PUN	(
aua/asmb	NOM	aua/asmb
)	PUN	)
13	NUM	@card@
'	PUN	'
09	NUM	@card@
benjamins	NOM	benjamin
:	PUN	:
1	NUM	@card@
daubresse	NOM	daubresse
(	PUN	(
aua	VER:simp	aua
)	PUN	)
11	NUM	@card@
'	PUN	'
10	NUM	@card@
;	PUN	;
2	NUM	@card@
vernier	NOM	vernier
(	PUN	(
aua	VER:simp	aua
)	PUN	)
11	NUM	@card@
'	PUN	'
12	NUM	@card@
;	PUN	;
3	NUM	@card@
nicolas	NOM	nicolas
(	PUN	(
aua	VER:simp	aua
)	PUN	)
12	NUM	@card@
'	PUN	'
11	NUM	@card@
benjamines	NOM	benjamin
200	NUM	@card@
m	NOM	m
:	PUN	:
1	NUM	@card@
chikhi	NOM	chikhi
(	PUN	(
aua	VER:simp	aua
)	PUN	)
8	NUM	@card@
'	PUN	'
49	NUM	@card@
;	PUN	;
2	NUM	@card@
volle	NOM	volle
(	PUN	(
ac	ABR	ac
anjoutey	NOM	anjoutey
)	PUN	)
8	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
3	NUM	@card@
iltis	NOM	iltis
(	PUN	(
aua	VER:simp	aua
)	PUN	)
9	NUM	@card@
'	PUN	'
01	NUM	@card@
poussins	NOM	poussin
:	PUN	:
1	NUM	@card@
martin	NOM	martin
(	PUN	(
lepuix-gy	NOM	lepuix-gy
)	PUN	)
4	NUM	@card@
'	PUN	'
04	NUM	@card@
;	PUN	;
2	NUM	@card@
valthier	NOM	valthier
(	PUN	(
ac	ABR	ac
châtenois	NOM	châtenois
)	PUN	)
4	NUM	@card@
'	PUN	'
10	NUM	@card@
;	PUN	;
3	NUM	@card@
meredez	VER:pres	meredez
(	PUN	(
ac	ABR	ac
châtenois	NOM	châtenois
)	PUN	)
4	NUM	@card@
'	PUN	'
35	NUM	@card@
poussines	NOM	poussine
:	PUN	:
1	NUM	@card@
haymoud	NOM	haymoud
(	PUN	(
aua	VER:simp	aua
)	PUN	)
4	NUM	@card@
'	PUN	'
06	NUM	@card@
;	PUN	;
2	NUM	@card@
chikhi	NOM	chikhi
(	PUN	(
aua	VER:simp	aua
)	PUN	)
4	NUM	@card@
'	PUN	'
16	NUM	@card@
;	PUN	;
3	NUM	@card@
simon	NOM	simon
(	PUN	(
aua	VER:simp	aua
)	PUN	)
4	NUM	@card@
'	PUN	'
22	NUM	@card@
par	PRP	par
équipes	NOM	équipe
:	PUN	:
poussines	NOM	poussine
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
benjamines	NOM	benjamin
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
minimes	ADJ	minime
filles	NOM	fille
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
cadettes	ADJ	cadet
:	PUN	:
1	NUM	@card@
aua	NOM	aua
;	PUN	;
cross	NOM	cross
court	ADJ	court
:	PUN	:
1	NUM	@card@
aua	NOM	aua
.	SENT	.
poussins	NOM	poussin
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
benjamins	NOM	benjamin
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
minimes	ADJ	minime
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
cadets	ADJ	cadet
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
juniors	NOM	junior
:	PUN	:
1	NUM	@card@
aua	NOM	aua
;	PUN	;
cross	NOM	cross
court	ADJ	court
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
seniors	NOM	senior
:	PUN	:
1	NUM	@card@
aua	NOM	aua
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
vétérans	NOM	vétéran
:	PUN	:
1	NUM	@card@
aua	VER:simp	aua
22	NUM	@card@
