m.	ABR	m.
georges	NOM	georges
cuney	NOM	cuney
3	NUM	@card@
rue	NOM	rue
jean-moulin	NOM	jean-moulin
70200	NUM	@card@
lure	NOM	lure
.	SENT	.
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
perspicacité	NOM	perspicacité
et	KON	et
au	PRP:det	au
courage	NOM	courage
de	PRP	de
journalistes	NOM	journaliste
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
,	PUN	,
une	DET:ART	un
grand-mère	NOM	grand-mère
va	VER:pres	aller
enfin	ADV	enfin
goûter	VER:infi	goûter
aux	PRP:det	au
joies	NOM	joie
et	KON	et
plaisirs	NOM	plaisir
que	PRO:REL	que
procure	VER:pres	procurer
la	DET:ART	le
fée	NOM	fée
electricité	ADJ	electricité
.	SENT	.
comment	ADV	comment
,	PUN	,
au	PRP:det	au
21	NUM	@card@
e	NOM	e
siècle	NOM	siècle
,	PUN	,
pouvait-on	VER:ppre	pouvait-on
encore	ADV	encore
imaginer	VER:infi	imaginer
une	DET:ART	un
telle	PRO:DEM	tel
précarité	NOM	précarité
?	SENT	?
après	PRP	après
une	DET:ART	un
vie	NOM	vie
tout	ADV	tout
entière	ADJ	entier
consacrée	VER:pper	consacrer
à	PRP	à
la	DET:ART	le
sécurité	NOM	sécurité
de	PRP	de
milliers	NOM	millier
de	PRP	de
personnes	NOM	personne
(	PUN	(
garde-barrière	NOM	garde-barrière
),	ADJ	),
combien	ADV	combien
de	PRP	de
trains	NOM	train
a-t-elle	ADJ	a-t-elle
vu	VER:pper	voir
passer	VER:infi	passer
,	PUN	,
bien	ADV	bien
illuminés	VER:pper	illuminer
,	PUN	,
alors	ADV	alors
qu'	KON	que
elle	PRO:PER	elle
ne	ADV	ne
possédait	VER:impf	posséder
que	ADV	que
quelques	PRO:IND	quelque
bougies	NOM	bougie
pour	PRP	pour
se	PRO:PER	se
diriger	VER:infi	diriger
la	DET:ART	le
nuit	NOM	nuit
?	SENT	?
aujourd'hui	ADV	aujourd'hui
,	PUN	,
justice	NOM	justice
lui	PRO:PER	lui
est	VER:pres	être
enfin	ADV	enfin
rendue	VER:pper	rendre
,	PUN	,
grâce	NOM	grâce
à	PRP	à
vous	PRO:PER	vous
.	SENT	.
soyez	VER:impe	être
en	PRO:PER	en
remerciés	VER:pper	remercier
.	SENT	.
vous	PRO:PER	vous
avez	VER:pres	avoir
été	VER:pper	être
le	DET:ART	le
premier	NUM	premier
maillon	NOM	maillon
de	PRP	de
cette	PRO:DEM	ce
grande	ADJ	grand
chaîne	NOM	chaîne
de	PRP	de
solidarité	NOM	solidarité
.	SENT	.
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
maillon	NOM	maillon
fort	ADJ	fort
»	PUN:cit	»
qui	PRO:REL	qui
a	VER:pres	avoir
su	VER:pper	savoir
,	PUN	,
comme	ADV	comme
dans	PRP	dans
de	PRP	de
nombreux	ADJ	nombreux
cas	NOM	cas
,	PUN	,
intervenir	VER:infi	intervenir
courageusement	ADV	courageusement
pour	PRP	pour
dénoncer	VER:infi	dénoncer
sinon	KON	sinon
une	DET:ART	un
injustice	NOM	injustice
,	PUN	,
au	PRP:det	au
moins	ADV	moins
un	DET:ART	un
«	PUN:cit	«
oubli	NOM	oubli
».	VER:impf	».
grâce	NOM	grâce
à	PRP	à
vous	PRO:PER	vous
et	KON	et
à	PRP	à
la	DET:ART	le
solidarité	NOM	solidarité
que	PRO:REL	que
vous	PRO:PER	vous
avez	VER:pres	avoir
su	VER:pper	savoir
déclencher	VER:infi	déclencher
,	PUN	,
cette	PRO:DEM	ce
grand-mère	NOM	grand-mère
va	VER:pres	aller
connaître	VER:infi	connaître
un	DET:ART	un
confort	NOM	confort
qu'	PRO:REL	que
elle	PRO:PER	elle
ignorait	VER:impf	ignorer
depuis	PRP	depuis
si	ADV	si
longtemps	ADV	longtemps
.	SENT	.
un	DET:ART	un
grand	ADJ	grand
merci	NOM	merci
pour	PRP	pour
elle	PRO:PER	elle
.	SENT	.
merci	NOM	merci
à	PRP	à
tout	PRO:IND	tout
le	DET:ART	le
personnel	NOM	personnel
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
et	KON	et
aussi	ADV	aussi
à	PRP	à
ceux	PRO:DEM	celui
et	KON	et
celles	PRO:DEM	celui
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
associés	VER:pper	associer
à	PRP	à
votre	DET:POS	votre
action	NOM	action
.	SENT	.
