au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
passé	VER:pper	passer
,	PUN	,
six	NUM	six
naissances	NOM	naissance
ont	VER:pres	avoir
été	VER:pper	être
enregistrées	VER:pper	enregistrer
à	PRP	à
l'	DET:ART	le
état	NOM	état
civil	ADJ	civil
:	PUN	:
pauline	ADJ	pauline
aubriot	NOM	aubriot
,	PUN	,
erwan	ADJ	erwan
braghini	NOM	braghini
,	PUN	,
thomas	NOM	thomas
de	PRP	de
sousan	NOM	sousan
,	PUN	,
baptiste	ADJ	baptiste
munsch	NOM	munsch
,	PUN	,
emma	VER:simp	emma
nicolas	NOM	nicolas
et	KON	et
gauthier	NOM	gauthier
pluskota	VER:simp	pluskota
.	SENT	.
cinq	NUM	cinq
mariages	NOM	mariage
:	PUN	:
cyril	NOM	cyril
chenin-véronique	ADJ	chenin-véronique
jammes	NOM	jammes
,	PUN	,
eric	ADJ	eric
davouse-catherine	NOM	davouse-catherine
dakas	NOM	dakas
,	PUN	,
jackie	NOM	jackie
guillot-christine	ADJ	guillot-christine
spak	NOM	spak
,	PUN	,
david	NOM	david
urbanajc-virginie	NOM	urbanajc-virginie
christophe	ADJ	christophe
,	PUN	,
xavier	NOM	xavier
yung-karine	NOM	yung-karine
morel	ADJ	morel
.	SENT	.
quatre	NUM	quatre
décès	NOM	décès
:	PUN	:
paul	ADJ	paul
lamotte	NOM	lamotte
(	PUN	(
81	NUM	@card@
ans	NOM	an
),	ADJ	),
michèle	NOM	michèle
bellot	ADJ	bellot
(	PUN	(
49	NUM	@card@
ans	NOM	an
),	ADJ	),
fernand	NOM	fernand
taboureux	ADJ	taboureux
(	PUN	(
84	NUM	@card@
ans	NOM	an
)	PUN	)
et	KON	et
henri	VER:pper	henri
bontems	NOM	bontems
(	PUN	(
95	NUM	@card@
).	ABR	).
