au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
quatre	NUM	quatre
naissances	NOM	naissance
ont	VER:pres	avoir
été	VER:pper	être
enregistrées	VER:pper	enregistrer
;	PUN	;
celles	PRO:DEM	celui
de	PRP	de
justine	ADJ	justine
kricq	NOM	kricq
,	PUN	,
clara	NOM	clara
picard	ADJ	picard
,	PUN	,
victorine	ADJ	victorine
floquet	NOM	floquet
,	PUN	,
eva	VER:simp	eva
bonneaud	NOM	bonneaud
.	SENT	.
trois	NUM	trois
mariages	NOM	mariage
:	PUN	:
muriel	ADJ	muriel
tellier	NOM	tellier
et	KON	et
david	NOM	david
bainville	NOM	bainville
;	PUN	;
angélique	NOM	angélique
galloni	ADJ	galloni
et	KON	et
emmanuel	ADJ	emmanuel
menigoz	NAM	menigoz
;	PUN	;
isabelle	ADJ	isabelle
cerutti	NOM	cerutti
et	KON	et
jean-paul	NOM	jean-paul
garpena	VER:simp	garpena
.	SENT	.
quatre	NUM	quatre
décès	NOM	décès
:	PUN	:
antoine	NOM	antoine
kostrzewa	NOM	kostrzewa
;	PUN	;
manuel	ADJ	manuel
ferreira-mendonca	NOM	ferreira-mendonca
;	PUN	;
bernard	NOM	bernard
fabin	NOM	fabin
;	PUN	;
roger	VER:infi	roger
marin	ADJ	marin
.	SENT	.
