messieurs	NOM	messieurs
:	PUN	:
1	NUM	@card@
gayet	NOM	gayet
(	PUN	(
ski	NOM	ski
rousses	ADJ	roux
)	PUN	)
1	NUM	@card@
'	PUN	'
15	NUM	@card@
''	NOM	''
64	NUM	@card@
;	PUN	;
2	NUM	@card@
benoit	NOM	benoit
guyod	ADJ	guyod
(	PUN	(
ski	NOM	ski
rousses	ADJ	roux
)	PUN	)
1	NUM	@card@
'	PUN	'
15	NUM	@card@
''	NOM	''
98	NUM	@card@
;	PUN	;
3	NUM	@card@
auzias	NOM	auzias
(	PUN	(
ski	NOM	ski
rousses	ADJ	roux
)	PUN	)
1	NUM	@card@
'	PUN	'
17	NUM	@card@
''	NOM	''
99	NUM	@card@
;	PUN	;
4	NUM	@card@
prost	NOM	prost
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
18	NUM	@card@
''	NOM	''
77	NUM	@card@
;	PUN	;
5	NUM	@card@
germann	NOM	germann
(	PUN	(
val	NOM	val
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
20	NUM	@card@
''	NOM	''
02	NUM	@card@
;	PUN	;
6	NUM	@card@
bailly	NOM	bailly
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
20	NUM	@card@
''	NOM	''
13	NUM	@card@
;	PUN	;
7	NUM	@card@
jacquet	NOM	jacquet
(	PUN	(
morbier	NOM	morbier
)	PUN	)
1	NUM	@card@
'	PUN	'
20	NUM	@card@
''	NOM	''
52	NUM	@card@
;	PUN	;
8	NUM	@card@
lacroix	NOM	lacroix
(	PUN	(
bois	NOM	bois
d'	PRP	de
amont	NOM	amont
)	PUN	)
1	NUM	@card@
'	PUN	'
21	NUM	@card@
''	NOM	''
87	NUM	@card@
;	PUN	;
9	NUM	@card@
mulet	NOM	mulet
(	PUN	(
ascap	NOM	ascap
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
60	NUM	@card@
;	PUN	;
10	NUM	@card@
geeraert	NOM	geeraert
(	PUN	(
jura	VER:simp	jurer
gessien	NOM	gessien
)	PUN	)
1	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
77	NUM	@card@
11	NUM	@card@
angulo	NOM	angulo
(	PUN	(
oyonnax	NOM	oyonnax
)	PUN	)
1	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
84	NUM	@card@
;	PUN	;
12	NUM	@card@
dumont	NOM	dumont
fillon	NOM	fillon
(	PUN	(
ski	NOM	ski
rousses	ADJ	roux
)	PUN	)
1	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
85	NUM	@card@
;	PUN	;
13	NUM	@card@
bailly	NOM	bailly
maître	NOM	maître
(	PUN	(
chaumeran	NOM	chaumeran
)	PUN	)
1	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
43	NUM	@card@
;	PUN	;
14	NUM	@card@
vermot	NOM	vermot
desroches	ADJ	desroches
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
58	NUM	@card@
;	PUN	;
15	NUM	@card@
post	NOM	post
(	PUN	(
jura	VER:simp	jurer
gessien	NOM	gessien
)	PUN	)
1	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
64	NUM	@card@
;	PUN	;
16	NUM	@card@
saget	NOM	saget
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
1	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
80	NUM	@card@
;	PUN	;
17	NUM	@card@
grandclément	NOM	grandclément
(	PUN	(
jura	VER:simp	jurer
)	PUN	)
1	NUM	@card@
'	PUN	'
25	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
18	NUM	@card@
mouquand	NOM	mouquand
(	PUN	(
audincourt	ADJ	audincourt
)	PUN	)
1	NUM	@card@
'	PUN	'
25	NUM	@card@
''	NOM	''
37	NUM	@card@
;	PUN	;
19	NUM	@card@
cretin	NOM	cretin
(	PUN	(
bois	NOM	bois
d'	PRP	de
amont	NOM	amont
)	PUN	)
1	NUM	@card@
'	PUN	'
25	NUM	@card@
''	NOM	''
92	NUM	@card@
;	PUN	;
20	NUM	@card@
houberdon	NOM	houberdon
(	PUN	(
ascap	NOM	ascap
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
'	PUN	'
26	NUM	@card@
''	NOM	''
39	NUM	@card@
dames	NOM	dame
:	PUN	:
1	NUM	@card@
fornage	NOM	fornage
(	PUN	(
val	NOM	val
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
23	NUM	@card@
''	NOM	''
13	NUM	@card@
;	PUN	;
2	NUM	@card@
faveret	NOM	faveret
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
23	NUM	@card@
''	NOM	''
13	NUM	@card@
;	PUN	;
3	NUM	@card@
villet	NOM	villet
(	PUN	(
jura	VER:simp	jurer
gessien	NOM	gessien
)	PUN	)
1	NUM	@card@
'	PUN	'
27	NUM	@card@
''	NOM	''
96	NUM	@card@
;	PUN	;
4	NUM	@card@
forestier	NOM	forestier
(	PUN	(
lamoura	VER:simp	lamoura
)	PUN	)
1	NUM	@card@
'	PUN	'
29	NUM	@card@
''	NOM	''
14	NUM	@card@
;	PUN	;
5	NUM	@card@
sandona	NOM	sandona
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
et	KON	et
bussod	NOM	bussod
(	PUN	(
ski	NOM	ski
rousses	ADJ	roux
)	PUN	)
1	NUM	@card@
'	PUN	'
29	NUM	@card@
''	NOM	''
42	NUM	@card@
;	PUN	;
7	NUM	@card@
julliard	NOM	julliard
(	PUN	(
mts	ADJ	mts
jura	VER:simp	jurer
)	PUN	)
1	NUM	@card@
'	PUN	'
29	NUM	@card@
''	NOM	''
48	NUM	@card@
;	PUN	;
8	NUM	@card@
post	NOM	post
(	PUN	(
jura	VER:simp	jurer
gessien	NOM	gessien
)	PUN	)
1	NUM	@card@
'	PUN	'
30	NUM	@card@
''	NOM	''
29	NUM	@card@
;	PUN	;
9	NUM	@card@
sauge	NOM	sauge
(	PUN	(
vla	VER:simp	vla
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
33	NUM	@card@
''	NOM	''
18	NUM	@card@
;	PUN	;
10	NUM	@card@
ostensson	NOM	ostensson
(	PUN	(
jura	VER:simp	jurer
gessien	NOM	gessien
)	PUN	)
1	NUM	@card@
'	PUN	'
33	NUM	@card@
''	NOM	''
49	NUM	@card@
