classement	NOM	classement
peugeot	NOM	peugeot
sport	NOM	sport
:	PUN	:
1	NUM	@card@
fores	VER:pres	forer
,	PUN	,
2.719	NUM	@card@
pts	NOM	pts
;	PUN	;
grosdemouge	VER:pper	grosdemouge
,	PUN	,
2.433	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
prévot	NOM	prévot
,	PUN	,
2.352	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
faivre	NOM	faivre
,	PUN	,
2.158	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
marcelino	NOM	marcelino
,	PUN	,
2.062	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
juif	NOM	juif
,	PUN	,
1.942	NUM	@card@
pts	NOM	pts
;	PUN	;
7	NUM	@card@
durpoix	NOM	durpoix
,	PUN	,
1.742	NUM	@card@
pts	NOM	pts
;	PUN	;
7	NUM	@card@
vançon	NOM	vançon
,	PUN	,
1.742	NUM	@card@
pts	NOM	pts
;	PUN	;
9	NUM	@card@
meyer	NOM	meyer
,	PUN	,
1.738	NUM	@card@
pts	NOM	pts
;	PUN	;
10	NUM	@card@
humbert	NOM	humbert
,	PUN	,
1.654	NUM	@card@
pts	NOM	pts
rallye	NOM	rallye
:	PUN	:
1	NUM	@card@
fores	VER:pres	forer
,	PUN	,
1.643	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
vançon	NOM	vançon
,	PUN	,
1.327	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
bolot	NOM	bolot
,	PUN	,
1.263	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
ducourneau	NOM	ducourneau
,	PUN	,
1.072	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
faivre	NOM	faivre
,	PUN	,
959	NUM	@card@
pts	NOM	pts
.	SENT	.
côte	NOM	côte
:	PUN	:
1	NUM	@card@
marcelino	NOM	marcelino
,	PUN	,
1.478	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
prévot	NOM	prévot
,	PUN	,
1.476	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
juif	NOM	juif
,	PUN	,
1.269	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
richard	NOM	richard
,	PUN	,
1.238	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
martin	NOM	martin
,	PUN	,
1.155	NUM	@card@
pts	NOM	pts
.	SENT	.
slalom	NOM	slalom
:	PUN	:
1	NUM	@card@
nerling	NOM	nerling
;	PUN	;
2	NUM	@card@
meyer	NOM	meyer
;	PUN	;
3	NUM	@card@
collieux	NOM	collieux
;	PUN	;
4	NUM	@card@
bart	NOM	bart
;	PUN	;
5	NUM	@card@
gargioni	NOM	gargioni
.	SENT	.
circuit	NOM	circuit
:	PUN	:
1	NUM	@card@
henry	NOM	henry
,	PUN	,
1.151	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
zollinger	NOM	zollinger
,	PUN	,
1.102	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
caillet	NOM	caillet
,	PUN	,
907	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
roy	NOM	roy
,	PUN	,
782	NUM	@card@
pts	NOM	pts
;	PUN	;
50	NUM	@card@
faivre	NOM	faivre
,	PUN	,
782	NUM	@card@
pts	NOM	pts
.	SENT	.
fol'car	NOM	fol'car
:	PUN	:
1	NUM	@card@
charpin	NOM	charpin
,	PUN	,
782	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
sigwalt	NOM	sigwalt
,	PUN	,
608	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
bosc	NOM	bosc
,	PUN	,
514	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
frossard	NOM	frossard
,	PUN	,
514	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
billotte	NOM	billotte
,	PUN	,
406	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
converset	NOM	converset
,	PUN	,
406	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
morel	NOM	morel
,	PUN	,
352	NUM	@card@
pts	NOM	pts
.	SENT	.
auto	NOM	auto
cross	NOM	cross
:	PUN	:
1	NUM	@card@
bazzali	NOM	bazzali
,	PUN	,
726	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
charpin	NOM	charpin
,	PUN	,
192	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
morel	NOM	morel
,	PUN	,
54	NUM	@card@
pts	NOM	pts
.	SENT	.
copilote	NOM	copilote
:	PUN	:
1	NUM	@card@
grosdemouge	NOM	grosdemouge
,	PUN	,
1.611	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
durpoix	NOM	durpoix
,	PUN	,
1.327	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
ciret	NOM	ciret
,	PUN	,
1.072	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
derrien	NOM	derrien
,	PUN	,
1.007	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
pelletier	NOM	pelletier
,	PUN	,
959	NUM	@card@
pts	NOM	pts
.	SENT	.
féminine	ADJ	féminin
:	PUN	:
1	NUM	@card@
derrien	NOM	derrien
,	PUN	,
1.007	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
pelletier	NOM	pelletier
,	PUN	,
959	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
carpene	NOM	carpene
,	PUN	,
565	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
derreumaux	NOM	derreumaux
,	PUN	,
536	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
juif	NOM	juif
,	PUN	,
533	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
canonne	VER:pres	canonner
,	PUN	,
247	NUM	@card@
pts	NOM	pts
.	SENT	.
