Key = de, Value = 8
Key = également, Value = 1
Key = crise, Value = 1
Key = notre, Value = 2
Key = jordanie, Value = 1
Key = clinton, Value = 2
Key = fin, Value = 1
Key = faire, Value = 1
Key = "c'est, Value = 1
Key = benyamin, Value = 1
Key = mettre, Value = 1
Key = yasser, Value = 1
Key = paix", Value = 1
Key = un, Value = 1
Key = l'invitation, Value = 1
Key = caire, Value = 1
Key = par, Value = 1
Key = l'ouverture, Value = 1
Key = il, Value = 1
Key = dimanche, Value = 1
Key = président, Value = 1
Key = sommet, Value = 2
Key = moubarak, Value = 1
Key = bill, Value = 1
Key = ministre, Value = 1
Key = va, Value = 1
Key = dans, Value = 1
Key = journée, Value = 1
Key = et, Value = 2
Key = israël, Value = 1
Key = gaza, Value = 1
Key = d'un, Value = 1
Key = arafat, Value = 1
Key = au, Value = 1
Key = octobre, Value = 1
Key = washington, Value = 2
Key = à, Value = 5
Key = quitté, Value = 1
Key = hussein, Value = 1
Key = affirmé, Value = 1
Key = jérusalem-est, Value = 1
Key = responsabilité, Value = 1
Key = roi, Value = 1
Key = mardi, Value = 1
Key = nétanyahou, Value = 1
Key = tenter, Value = 2
Key = se, Value = 2
Key = 1e, Value = 1
Key = rendre, Value = 2
Key = l'autorité, Value = 1
Key = réunir, Value = 1
Key = où, Value = 1
Key = ﻿a, Value = 1
Key = devaient, Value = 1
Key = palestinienne, Value = 1
Key = a, Value = 2
Key = lundi, Value = 1
Key = premier, Value = 1
Key = chef, Value = 1
Key = pour, Value = 3
Key = hosni, Value = 1
Key = possible, Value = 1
Key = tout, Value = 1
Key = consécutive, Value = 1
Key = m, Value = 1
Key = convaincre, Value = 1
Key = processus, Value = 1
Key = la, Value = 2
Key = le, Value = 6
Key = israélien, Value = 1
Key = protéger, Value = 1
Key = devait, Value = 1
Key = tunnel, Value = 1
